F00 1 1 00 = {0, 0, 0, -1/6, 0, 0, 0, 0, 0, 79/120, 5/4, 0, 0, 3/20, 0, 0, 0, 0, 0, -2095/672, -57/8, -15/8, 0, 0, -53/56, -7/4, 0, 0, -5/56, 0, 0, 0, 0, 0, 45079/1920, 10753/192, 1841/96, 91/48, 0, 0, 21557/2880, 275/16, 77/16, 0, 0, 263/288, 27/16, 0, 0, 7/144, 0, 0, 0, 0, 0, -4480667/16896, -41061/64, -15221/64, -497/16, -51/32, 0, 0, -180199/2112, -6557/32, -1173/16, -63/8, 0, 0, -23041/2112, -403/16, -117/16, 0, 0, -391/528, -11/8, 0, 0, -9/352, 0, 0, 0, 0, 0, 11799790789/2795520, 10523873/1024, 1009701/256, 72193/128, 4917/128, 77/64, 0, 0, 1901628919/1397760, 423373/128, 161381/128, 5577/32, 627/64, 0, 0, 12268001/69888, 54211/128, 9955/64, 561/32, 0, 0, 62209/4992, 925/32, 275/32, 0, 0, 905/1664, 65/64, 0, 0, 11/832, 0, 0, 0, 0, 0}
F00 1 1 10 = {0, 0, 0, 0, 0, 0, -1/6, 0, 0, 0, 0, 0, 0, 79/120, 5/4, 0, 3/20, 0, 0, 0, 0, 0, 0, 0, -2095/672, -57/8, -15/8, 0, -53/56, -7/4, 0, -5/56, 0, 0, 0, 0, 0, 0, 0, 0, 45079/1920, 10753/192, 1841/96, 91/48, 0, 21557/2880, 275/16, 77/16, 0, 263/288, 27/16, 0, 7/144, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4480667/16896, -41061/64, -15221/64, -497/16, -51/32, 0, -180199/2112, -6557/32, -1173/16, -63/8, 0, -23041/2112, -403/16, -117/16, 0, -391/528, -11/8, 0, -9/352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11799790789/2795520, 10523873/1024, 1009701/256, 72193/128, 4917/128, 77/64, 0, 1901628919/1397760, 423373/128, 161381/128, 5577/32, 627/64, 0, 12268001/69888, 54211/128, 9955/64, 561/32, 0, 62209/4992, 925/32, 275/32, 0, 905/1664, 65/64, 0, 11/832, 0, 0}
F00 1 1 01 = {0, 0, 0, 0, -1/6, 0, 0, 0, 0, 0, 79/120, 5/4, 0, 0, 3/20, 0, 0, 0, 0, 0, -2095/672, -57/8, -15/8, 0, 0, -53/56, -7/4, 0, 0, -5/56, 0, 0, 0, 0, 0, 45079/1920, 10753/192, 1841/96, 91/48, 0, 0, 21557/2880, 275/16, 77/16, 0, 0, 263/288, 27/16, 0, 0, 7/144, 0, 0, 0, 0, 0, -4480667/16896, -41061/64, -15221/64, -497/16, -51/32, 0, 0, -180199/2112, -6557/32, -1173/16, -63/8, 0, 0, -23041/2112, -403/16, -117/16, 0, 0, -391/528, -11/8, 0, 0, -9/352, 0, 0, 0, 0, 0, 11799790789/2795520, 10523873/1024, 1009701/256, 72193/128, 4917/128, 77/64, 0, 0, 1901628919/1397760, 423373/128, 161381/128, 5577/32, 627/64, 0, 0, 12268001/69888, 54211/128, 9955/64, 561/32, 0, 0, 62209/4992, 925/32, 275/32, 0, 0, 905/1664, 65/64, 0, 0, 11/832, 0, 0, 0, 0}
F00 2 1 00 = {0, 0, 0, 4/15, 0, 0, 0, 0, 0, -74/105, -6/5, 0, 0, -6/35, 0, 0, 0, 0, 0, 1357/420, 101/14, 2, 0, 0, 41/42, 12/7, 0, 0, 2/21, 0, 0, 0, 0, 0, -15913/660, -3467/60, -64/3, -7/3, 0, 0, -15133/1980, -52/3, -5, 0, 0, -92/99, -5/3, 0, 0, -5/99, 0, 0, 0, 0, 0, 260011901/960960, 116503/176, 1055/4, 155/4, 9/4, 0, 0, 4172593/48048, 4607/22, 315/4, 9, 0, 0, 18979/1716, 1115/44, 15/2, 0, 0, 1285/1716, 15/11, 0, 0, 15/572, 0, 0, 0, 0, 0, -748761331/174720, -122862995/11648, -17191/4, -54703/80, -429/8, -77/40, 0, 0, -241135099/174720, -1231621/364, -21723/16, -407/2, -99/8, 0, 0, -32353/182, -89509/208, -655/4, -77/4, 0, 0, -39259/3120, -755/26, -35/4, 0, 0, -57/104, -105/104, 0, 0, -7/520, 0, 0, 0, 0, 0}
F00 2 1 10 = {0, 0, 0, 0, 0, 0, 4/15, 0, 0, 0, 0, 0, 0, -74/105, -6/5, 0, -6/35, 0, 0, 0, 0, 0, 0, 0, 1357/420, 101/14, 2, 0, 41/42, 12/7, 0, 2/21, 0, 0, 0, 0, 0, 0, 0, 0, -15913/660, -3467/60, -64/3, -7/3, 0, -15133/1980, -52/3, -5, 0, -92/99, -5/3, 0, -5/99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 260011901/960960, 116503/176, 1055/4, 155/4, 9/4, 0, 4172593/48048, 4607/22, 315/4, 9, 0, 18979/1716, 1115/44, 15/2, 0, 1285/1716, 15/11, 0, 15/572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -748761331/174720, -122862995/11648, -17191/4, -54703/80, -429/8, -77/40, 0, -241135099/174720, -1231621/364, -21723/16, -407/2, -99/8, 0, -32353/182, -89509/208, -655/4, -77/4, 0, -39259/3120, -755/26, -35/4, 0, -57/104, -105/104, 0, -7/520, 0, 0}
F00 2 1 01 = {0, 0, 0, 0, 4/15, 0, 0, 0, 0, 0, -74/105, -6/5, 0, 0, -6/35, 0, 0, 0, 0, 0, 1357/420, 101/14, 2, 0, 0, 41/42, 12/7, 0, 0, 2/21, 0, 0, 0, 0, 0, -15913/660, -3467/60, -64/3, -7/3, 0, 0, -15133/1980, -52/3, -5, 0, 0, -92/99, -5/3, 0, 0, -5/99, 0, 0, 0, 0, 0, 260011901/960960, 116503/176, 1055/4, 155/4, 9/4, 0, 0, 4172593/48048, 4607/22, 315/4, 9, 0, 0, 18979/1716, 1115/44, 15/2, 0, 0, 1285/1716, 15/11, 0, 0, 15/572, 0, 0, 0, 0, 0, -748761331/174720, -122862995/11648, -17191/4, -54703/80, -429/8, -77/40, 0, 0, -241135099/174720, -1231621/364, -21723/16, -407/2, -99/8, 0, 0, -32353/182, -89509/208, -655/4, -77/4, 0, 0, -39259/3120, -755/26, -35/4, 0, 0, -57/104, -105/104, 0, 0, -7/520, 0, 0, 0, 0}
F00 3 1 00 = {0, 0, 0, -4/15, 0, 0, 0, 0, 0, 74/105, 6/5, 0, 0, 6/35, 0, 0, 0, 0, 0, -1357/420, -101/14, -2, 0, 0, -41/42, -12/7, 0, 0, -2/21, 0, 0, 0, 0, 0, 15913/660, 3467/60, 64/3, 7/3, 0, 0, 15133/1980, 52/3, 5, 0, 0, 92/99, 5/3, 0, 0, 5/99, 0, 0, 0, 0, 0, -260011901/960960, -116503/176, -1055/4, -155/4, -9/4, 0, 0, -4172593/48048, -4607/22, -315/4, -9, 0, 0, -18979/1716, -1115/44, -15/2, 0, 0, -1285/1716, -15/11, 0, 0, -15/572, 0, 0, 0, 0, 0, 748761331/174720, 122862995/11648, 17191/4, 54703/80, 429/8, 77/40, 0, 0, 241135099/174720, 1231621/364, 21723/16, 407/2, 99/8, 0, 0, 32353/182, 89509/208, 655/4, 77/4, 0, 0, 39259/3120, 755/26, 35/4, 0, 0, 57/104, 105/104, 0, 0, 7/520, 0, 0, 0, 0, 0}
F00 3 1 10 = {0, 0, 0, 0, 0, 0, -4/15, 0, 0, 0, 0, 0, 0, 74/105, 6/5, 0, 6/35, 0, 0, 0, 0, 0, 0, 0, -1357/420, -101/14, -2, 0, -41/42, -12/7, 0, -2/21, 0, 0, 0, 0, 0, 0, 0, 0, 15913/660, 3467/60, 64/3, 7/3, 0, 15133/1980, 52/3, 5, 0, 92/99, 5/3, 0, 5/99, 0, 0, 0, 0, 0, 0, 0, 0, 0, -260011901/960960, -116503/176, -1055/4, -155/4, -9/4, 0, -4172593/48048, -4607/22, -315/4, -9, 0, -18979/1716, -1115/44, -15/2, 0, -1285/1716, -15/11, 0, -15/572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 748761331/174720, 122862995/11648, 17191/4, 54703/80, 429/8, 77/40, 0, 241135099/174720, 1231621/364, 21723/16, 407/2, 99/8, 0, 32353/182, 89509/208, 655/4, 77/4, 0, 39259/3120, 755/26, 35/4, 0, 57/104, 105/104, 0, 7/520, 0, 0}
F00 3 1 01 = {0, 0, 0, 0, -4/15, 0, 0, 0, 0, 0, 74/105, 6/5, 0, 0, 6/35, 0, 0, 0, 0, 0, -1357/420, -101/14, -2, 0, 0, -41/42, -12/7, 0, 0, -2/21, 0, 0, 0, 0, 0, 15913/660, 3467/60, 64/3, 7/3, 0, 0, 15133/1980, 52/3, 5, 0, 0, 92/99, 5/3, 0, 0, 5/99, 0, 0, 0, 0, 0, -260011901/960960, -116503/176, -1055/4, -155/4, -9/4, 0, 0, -4172593/48048, -4607/22, -315/4, -9, 0, 0, -18979/1716, -1115/44, -15/2, 0, 0, -1285/1716, -15/11, 0, 0, -15/572, 0, 0, 0, 0, 0, 748761331/174720, 122862995/11648, 17191/4, 54703/80, 429/8, 77/40, 0, 0, 241135099/174720, 1231621/364, 21723/16, 407/2, 99/8, 0, 0, 32353/182, 89509/208, 655/4, 77/4, 0, 0, 39259/3120, 755/26, 35/4, 0, 0, 57/104, 105/104, 0, 0, 7/520, 0, 0, 0, 0}
F00 1 2 00 = {0, 0, 0, 5/2, 0, 0, 0, 0, 0, -95/8, -11/4, 0, 0, -9/4, 0, 0, 0, 0, 0, 2909/32, 239/8, 17/8, 0, 0, 181/8, 25/4, 0, 0, 13/8, 0, 0, 0, 0, 0, -132807/128, -25013/64, -1349/32, -23/16, 0, 0, -18295/64, -1645/16, -147/16, 0, 0, -881/32, -133/16, 0, 0, -17/16, 0, 0, 0, 0, 0, 8509237/512, 429235/64, 54763/64, 727/16, 29/32, 0, 0, 308257/64, 61059/32, 3699/16, 81/8, 0, 0, 33151/64, 3141/16, 315/16, 0, 0, 433/16, 69/8, 0, 0, 21/32, 0, 0, 0, 0, 0, -730174639/2048, -153351695/1024, -5339355/256, -170127/128, -5355/128, -35/64, 0, 0, -108944501/1024, -5667827/128, -772651/128, -11671/32, -605/64, 0, 0, -3098031/256, -633325/128, -41085/64, -1023/32, 0, 0, -90777/128, -8899/32, -957/32, 0, 0, -2995/128, -495/64, 0, 0, -25/64, 0, 0, 0, 0, 0}
F00 1 2 10 = {0, 0, 0, 0, 0, 0, 5/2, 0, 0, 0, 0, 0, 0, -95/8, -11/4, 0, -9/4, 0, 0, 0, 0, 0, 0, 0, 2909/32, 239/8, 17/8, 0, 181/8, 25/4, 0, 13/8, 0, 0, 0, 0, 0, 0, 0, 0, -132807/128, -25013/64, -1349/32, -23/16, 0, -18295/64, -1645/16, -147/16, 0, -881/32, -133/16, 0, -17/16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8509237/512, 429235/64, 54763/64, 727/16, 29/32, 0, 308257/64, 61059/32, 3699/16, 81/8, 0, 33151/64, 3141/16, 315/16, 0, 433/16, 69/8, 0, 21/32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -730174639/2048, -153351695/1024, -5339355/256, -170127/128, -5355/128, -35/64, 0, -108944501/1024, -5667827/128, -772651/128, -11671/32, -605/64, 0, -3098031/256, -633325/128, -41085/64, -1023/32, 0, -90777/128, -8899/32, -957/32, 0, -2995/128, -495/64, 0, -25/64, 0, 0}
