F00 1 1 00 = {0, 0, 0, -7/6, 0, 0, 0, 0, 0, 1129/120, 11/4, 0, 0, 13/20, 0, 0, 0, 0, 0, -54217/672, -247/8, -25/8, 0, 0, -795/56, -17/4, 0, 0, -19/56, 0, 0, 0, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 0, 0, 633467/2880, 1381/16, 147/16, 0, 0, 4097/288, 69/16, 0, 0, 25/144, 0, 0, 0, 0, 0, -266946365/16896, -437835/64, -64451/64, -1103/16, -69/32, 0, 0, -8570185/2112, -55019/32, -3819/16, -105/8, 0, 0, -736567/2112, -2221/16, -243/16, 0, 0, -6265/528, -29/8, 0, 0, -31/352, 0, 0, 0, 0, 0, 960527608099/2795520, 155664495/1024, 5998355/256, 226655/128, 9427/128, 99/64, 0, 0, 131646552409/1397760, 5279675/128, 795707/128, 14223/32, 957/64, 0, 0, 645913559/69888, 506333/128, 35893/64, 1023/32, 0, 0, 2110879/4992, 5435/32, 605/32, 0, 0, 14815/1664, 175/64, 0, 0, 37/832, 0, 0, 0, 0, 0}
F00 1 1 10 = {0, 0, 0, 0, 0, 0, -7/6, 0, 0, 0, 0, 0, 0, 1129/120, 11/4, 0, 13/20, 0, 0, 0, 0, 0, 0, 0, -54217/672, -247/8, -25/8, 0, -795/56, -17/4, 0, -19/56, 0, 0, 0, 0, 0, 0, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 0, 633467/2880, 1381/16, 147/16, 0, 4097/288, 69/16, 0, 25/144, 0, 0, 0, 0, 0, 0, 0, 0, 0, -266946365/16896, -437835/64, -64451/64, -1103/16, -69/32, 0, -8570185/2112, -55019/32, -3819/16, -105/8, 0, -736567/2112, -2221/16, -243/16, 0, -6265/528, -29/8, 0, -31/352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 960527608099/2795520, 155664495/1024, 5998355/256, 226655/128, 9427/128, 99/64, 0, 131646552409/1397760, 5279675/128, 795707/128, 14223/32, 957/64, 0, 645913559/69888, 506333/128, 35893/64, 1023/32, 0, 2110879/4992, 5435/32, 605/32, 0, 14815/1664, 175/64, 0, 37/832, 0, 0}
F00 1 1 01 = {0, 0, 0, 0, -7/6, 0, 0, 0, 0, 0, 1129/120, 11/4, 0, 0, 13/20, 0, 0, 0, 0, 0, -54217/672, -247/8, -25/8, 0, 0, -795/56, -17/4, 0, 0, -19/56, 0, 0, 0, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 0, 0, 633467/2880, 1381/16, 147/16, 0, 0, 4097/288, 69/16, 0, 0, 25/144, 0, 0, 0, 0, 0, -266946365/16896, -437835/64, -64451/64, -1103/16, -69/32, 0, 0, -8570185/2112, -55019/32, -3819/16, -105/8, 0, 0, -736567/2112, -2221/16, -243/16, 0, 0, -6265/528, -29/8, 0, 0, -31/352, 0, 0, 0, 0, 0, 960527608099/2795520, 155664495/1024, 5998355/256, 226655/128, 9427/128, 99/64, 0, 0, 131646552409/1397760, 5279675/128, 795707/128, 14223/32, 957/64, 0, 0, 645913559/69888, 506333/128, 35893/64, 1023/32, 0, 0, 2110879/4992, 5435/32, 605/32, 0, 0, 14815/1664, 175/64, 0, 0, 37/832, 0, 0, 0, 0}
F00 2 1 00 = {0, 0, 0, 14/15, 0, 0, 0, 0, 0, -409/42, -16/5, 0, 0, -4/7, 0, 0, 0, 0, 0, 69829/840, 507/14, 9/2, 0, 0, 611/42, 33/7, 0, 0, 13/42, 0, 0, 0, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, 0, 0, -178091/792, -1165/12, -12, 0, 0, -11483/792, -14/3, 0, 0, -16/99, 0, 0, 0, 0, 0, 30838382327/1921920, 1309981/176, 19939/16, 415/4, 33/8, 0, 0, 198182591/48048, 165399/88, 1191/4, 39/2, 0, 0, 2435975/6864, 6703/44, 75/4, 0, 0, 20681/1716, 85/22, 0, 0, 95/1144, 0, 0, 0, 0, 0, -48587460829/139776, -942874105/5824, -1757031/64, -192753/80, -3949/32, -33/10, 0, 0, -694081753/7280, -128362723/2912, -117577/16, -4895/8, -99/4, 0, 0, -163622567/17472, -884147/208, -10727/16, -44, 0, 0, -1338449/3120, -19075/104, -45/2, 0, 0, -3753/416, -75/26, 0, 0, -11/260, 0, 0, 0, 0, 0}
F00 2 1 10 = {0, 0, 0, 0, 0, 0, 14/15, 0, 0, 0, 0, 0, 0, -409/42, -16/5, 0, -4/7, 0, 0, 0, 0, 0, 0, 0, 69829/840, 507/14, 9/2, 0, 611/42, 33/7, 0, 13/42, 0, 0, 0, 0, 0, 0, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, 0, -178091/792, -1165/12, -12, 0, -11483/792, -14/3, 0, -16/99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30838382327/1921920, 1309981/176, 19939/16, 415/4, 33/8, 0, 198182591/48048, 165399/88, 1191/4, 39/2, 0, 2435975/6864, 6703/44, 75/4, 0, 20681/1716, 85/22, 0, 95/1144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -48587460829/139776, -942874105/5824, -1757031/64, -192753/80, -3949/32, -33/10, 0, -694081753/7280, -128362723/2912, -117577/16, -4895/8, -99/4, 0, -163622567/17472, -884147/208, -10727/16, -44, 0, -1338449/3120, -19075/104, -45/2, 0, -3753/416, -75/26, 0, -11/260, 0, 0}
F00 2 1 01 = {0, 0, 0, 0, 14/15, 0, 0, 0, 0, 0, -409/42, -16/5, 0, 0, -4/7, 0, 0, 0, 0, 0, 69829/840, 507/14, 9/2, 0, 0, 611/42, 33/7, 0, 0, 13/42, 0, 0, 0, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, 0, 0, -178091/792, -1165/12, -12, 0, 0, -11483/792, -14/3, 0, 0, -16/99, 0, 0, 0, 0, 0, 30838382327/1921920, 1309981/176, 19939/16, 415/4, 33/8, 0, 0, 198182591/48048, 165399/88, 1191/4, 39/2, 0, 0, 2435975/6864, 6703/44, 75/4, 0, 0, 20681/1716, 85/22, 0, 0, 95/1144, 0, 0, 0, 0, 0, -48587460829/139776, -942874105/5824, -1757031/64, -192753/80, -3949/32, -33/10, 0, 0, -694081753/7280, -128362723/2912, -117577/16, -4895/8, -99/4, 0, 0, -163622567/17472, -884147/208, -10727/16, -44, 0, 0, -1338449/3120, -19075/104, -45/2, 0, 0, -3753/416, -75/26, 0, 0, -11/260, 0, 0, 0, 0}
F00 3 1 00 = {0, 0, 0, -4/5, 0, 0, 0, 0, 0, 354/35, 18/5, 0, 0, 18/35, 0, 0, 0, 0, 0, -11997/140, -583/14, -6, 0, 0, -209/14, -36/7, 0, 0, -2/7, 0, 0, 0, 0, 0, 221283/220, 10047/20, 92, 7, 0, 0, 151753/660, 108, 15, 0, 0, 488/33, 5, 0, 0, 5/33, 0, 0, 0, 0, 0, -5220327261/320320, -1419501/176, -6045/4, -585/4, -27/4, 0, 0, -67155513/16016, -44973/22, -1449/4, -27, 0, 0, -206595/572, -7305/44, -45/2, 0, 0, -7005/572, -45/11, 0, 0, -45/572, 0, 0, 0, 0, 0, 20482316991/58240, 2003966729/11648, 127319/4, 253429/80, 1507/8, 231/40, 0, 0, 5621178859/58240, 17104259/364, 137241/16, 1617/2, 297/8, 0, 0, 863571/91, 946919/208, 3153/4, 231/4, 0, 0, 452659/1040, 5125/26, 105/4, 0, 0, 951/104, 315/104, 0, 0, 21/520, 0, 0, 0, 0, 0}
F00 3 1 10 = {0, 0, 0, 0, 0, 0, -4/5, 0, 0, 0, 0, 0, 0, 354/35, 18/5, 0, 18/35, 0, 0, 0, 0, 0, 0, 0, -11997/140, -583/14, -6, 0, -209/14, -36/7, 0, -2/7, 0, 0, 0, 0, 0, 0, 0, 0, 221283/220, 10047/20, 92, 7, 0, 151753/660, 108, 15, 0, 488/33, 5, 0, 5/33, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5220327261/320320, -1419501/176, -6045/4, -585/4, -27/4, 0, -67155513/16016, -44973/22, -1449/4, -27, 0, -206595/572, -7305/44, -45/2, 0, -7005/572, -45/11, 0, -45/572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20482316991/58240, 2003966729/11648, 127319/4, 253429/80, 1507/8, 231/40, 0, 5621178859/58240, 17104259/364, 137241/16, 1617/2, 297/8, 0, 863571/91, 946919/208, 3153/4, 231/4, 0, 452659/1040, 5125/26, 105/4, 0, 951/104, 315/104, 0, 21/520, 0, 0}
F00 3 1 01 = {0, 0, 0, 0, -4/5, 0, 0, 0, 0, 0, 354/35, 18/5, 0, 0, 18/35, 0, 0, 0, 0, 0, -11997/140, -583/14, -6, 0, 0, -209/14, -36/7, 0, 0, -2/7, 0, 0, 0, 0, 0, 221283/220, 10047/20, 92, 7, 0, 0, 151753/660, 108, 15, 0, 0, 488/33, 5, 0, 0, 5/33, 0, 0, 0, 0, 0, -5220327261/320320, -1419501/176, -6045/4, -585/4, -27/4, 0, 0, -67155513/16016, -44973/22, -1449/4, -27, 0, 0, -206595/572, -7305/44, -45/2, 0, 0, -7005/572, -45/11, 0, 0, -45/572, 0, 0, 0, 0, 0, 20482316991/58240, 2003966729/11648, 127319/4, 253429/80, 1507/8, 231/40, 0, 0, 5621178859/58240, 17104259/364, 137241/16, 1617/2, 297/8, 0, 0, 863571/91, 946919/208, 3153/4, 231/4, 0, 0, 452659/1040, 5125/26, 105/4, 0, 0, 951/104, 315/104, 0, 0, 21/520, 0, 0, 0, 0}
F00 1 2 00 = {0, 0, 0, 7/2, 0, 0, 0, 0, 0, -245/8, -13/4, 0, 0, -15/4, 0, 0, 0, 0, 0, 12271/32, 465/8, 19/8, 0, 0, 571/8, 35/4, 0, 0, 23/8, 0, 0, 0, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, 0, 0, -93601/64, -3871/16, -189/16, 0, 0, -3107/32, -203/16, 0, 0, -31/16, 0, 0, 0, 0, 0, 73693015/512, 1809085/64, 131425/64, 1105/16, 31/32, 0, 0, 2306527/64, 218001/32, 7317/16, 99/8, 0, 0, 191821/64, 8307/16, 441/16, 0, 0, 1639/16, 111/8, 0, 0, 39/32, 0, 0, 0, 0, 0, -8350832165/2048, -867349385/1024, -17408145/256, -353457/128, -7625/128, -37/64, 0, 0, -1114553699/1024, -28342721/128, -2190133/128, -20581/32, -715/64, 0, 0, -26239677/256, -2558611/128, -90783/64, -1353/32, 0, 0, -571719/128, -25465/32, -1419/32, 0, 0, -11905/128, -825/64, 0, 0, -47/64, 0, 0, 0, 0, 0}
F00 1 2 10 = {0, 0, 0, 0, 0, 0, 7/2, 0, 0, 0, 0, 0, 0, -245/8, -13/4, 0, -15/4, 0, 0, 0, 0, 0, 0, 0, 12271/32, 465/8, 19/8, 0, 571/8, 35/4, 0, 23/8, 0, 0, 0, 0, 0, 0, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, 0, -93601/64, -3871/16, -189/16, 0, -3107/32, -203/16, 0, -31/16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73693015/512, 1809085/64, 131425/64, 1105/16, 31/32, 0, 2306527/64, 218001/32, 7317/16, 99/8, 0, 191821/64, 8307/16, 441/16, 0, 1639/16, 111/8, 0, 39/32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8350832165/2048, -867349385/1024, -17408145/256, -353457/128, -7625/128, -37/64, 0, -1114553699/1024, -28342721/128, -2190133/128, -20581/32, -715/64, 0, -26239677/256, -2558611/128, -90783/64, -1353/32, 0, -571719/128, -25465/32, -1419/32, 0, -11905/128, -825/64, 0, -47/64, 0, 0}
