Solution 3, spins 1-13: scalar + normalizations rank 47, augmented 48
function classes: ['F00', 'F02', 'F03', 'F10', 'F12', 'F20']
--- pole order <= 1
   F00 alone: 9 columns, rank 55 (+8), inconsistent
   F02 alone: 9 columns, rank 55 (+8), inconsistent
   F03 alone: 9 columns, rank 47 (+0), inconsistent
   F10 alone: 9 columns, rank 56 (+9), inconsistent
   F12 alone: 9 columns, rank 56 (+9), inconsistent
   F20 alone: 9 columns, rank 56 (+9), inconsistent
   F00 + F02: 18 columns, rank 62 (+15), inconsistent
   F00 + F03: 18 columns, rank 55 (+8), inconsistent
   F00 + F10: 18 columns, rank 58 (+11), inconsistent
   F00 + F12: 18 columns, rank 64 (+17), inconsistent
   F00 + F20: 18 columns, rank 58 (+11), inconsistent
   F02 + F03: 18 columns, rank 55 (+8), inconsistent
   F02 + F10: 18 columns, rank 63 (+16), inconsistent
   F02 + F12: 18 columns, rank 64 (+17), inconsistent
   F02 + F20: 18 columns, rank 63 (+16), inconsistent
   F03 + F10: 18 columns, rank 56 (+9), inconsistent
   F03 + F12: 18 columns, rank 56 (+9), inconsistent
   F03 + F20: 18 columns, rank 56 (+9), inconsistent
   F10 + F12: 18 columns, rank 65 (+18), inconsistent
   F10 + F20: 18 columns, rank 59 (+12), inconsistent
   F12 + F20: 18 columns, rank 65 (+18), inconsistent
--- pole order <= 2
   F00 alone: 21 columns, rank 58 (+11), inconsistent
   F02 alone: 21 columns, rank 58 (+11), inconsistent
   F03 alone: 21 columns, rank 47 (+0), inconsistent
   F10 alone: 21 columns, rank 59 (+12), inconsistent
   F12 alone: 21 columns, rank 59 (+12), inconsistent
   F20 alone: 21 columns, rank 59 (+12), inconsistent
   F00 + F02: 42 columns, rank 67 (+20), inconsistent
   F00 + F03: 42 columns, rank 58 (+11), inconsistent
   F00 + F10: 42 columns, rank 61 (+14), inconsistent
   F00 + F12: 42 columns, rank 70 (+23), inconsistent
   F00 + F20: 42 columns, rank 64 (+17), inconsistent
   F02 + F03: 42 columns, rank 58 (+11), inconsistent
   F02 + F10: 42 columns, rank 68 (+21), inconsistent
   F02 + F12: 42 columns, rank 70 (+23), inconsistent
   F02 + F20: 42 columns, rank 69 (+22), inconsistent
   F03 + F10: 42 columns, rank 59 (+12), inconsistent
   F03 + F12: 42 columns, rank 59 (+12), inconsistent
   F03 + F20: 42 columns, rank 59 (+12), inconsistent
   F10 + F12: 42 columns, rank 71 (+24), inconsistent
   F10 + F20: 42 columns, rank 62 (+15), inconsistent
   F12 + F20: 42 columns, rank 71 (+24), inconsistent
--- pole order <= 3
   F00 alone: 36 columns, rank 61 (+14), inconsistent
   F02 alone: 36 columns, rank 61 (+14), inconsistent
   F03 alone: 36 columns, rank 47 (+0), inconsistent
   F10 alone: 36 columns, rank 62 (+15), inconsistent
   F12 alone: 36 columns, rank 62 (+15), inconsistent
   F20 alone: 36 columns, rank 62 (+15), inconsistent
   F00 + F02: 72 columns, rank 72 (+25), inconsistent
   F00 + F03: 72 columns, rank 61 (+14), inconsistent
   F00 + F10: 72 columns, rank 64 (+17), inconsistent
   F00 + F12: 72 columns, rank 76 (+29), inconsistent
   F00 + F20: 72 columns, rank 67 (+20), inconsistent
   F02 + F03: 72 columns, rank 61 (+14), inconsistent
   F02 + F10: 72 columns, rank 73 (+26), inconsistent
   F02 + F12: 72 columns, rank 76 (+29), inconsistent
   F02 + F20: 72 columns, rank 75 (+28), inconsistent
   F03 + F10: 72 columns, rank 62 (+15), inconsistent
   F03 + F12: 72 columns, rank 62 (+15), inconsistent
   F03 + F20: 72 columns, rank 62 (+15), inconsistent
   F10 + F12: 72 columns, rank 77 (+30), inconsistent
   F10 + F20: 72 columns, rank 65 (+18), inconsistent
   F12 + F20: 72 columns, rank 77 (+30), inconsistent
--- pole order <= 4
   F00 alone: 54 columns, rank 64 (+17), inconsistent
   F02 alone: 54 columns, rank 64 (+17), inconsistent
