##### Q = 0
Solution 3, t = 11/7, spins [3, 5, 7, 9, 11, 13], shape w^alpha (1-w)^0, Q = 0 polynomial shapes
   alpha = 0.05: relative residual 0.459532  (27 equations, 2 unknowns)
   alpha = 0.1: relative residual 0.848363  (27 equations, 2 unknowns)
   alpha = 0.15: relative residual 0.811182  (27 equations, 2 unknowns)
   alpha = 0.2: relative residual 0.951588  (27 equations, 2 unknowns)
   alpha = 0.25: gamma function pole
   alpha = 0.3: relative residual 0.945074  (27 equations, 2 unknowns)
   alpha = 0.35: relative residual 0.95923  (27 equations, 2 unknowns)
   alpha = 0.4: relative residual 0.964609  (27 equations, 2 unknowns)
   alpha = 0.45: relative residual 0.927263  (27 equations, 2 unknowns)
   alpha = 0.5: relative residual 0.782397  (27 equations, 2 unknowns)
   alpha = 0.55: relative residual 0.792936  (27 equations, 2 unknowns)
   alpha = 0.6: relative residual 0.808519  (27 equations, 2 unknowns)
   alpha = 0.65: relative residual 0.806255  (27 equations, 2 unknowns)
   alpha = 0.7: relative residual 0.798876  (27 equations, 2 unknowns)
   alpha = 0.75: gamma function pole
   alpha = 0.8: relative residual 0.785435  (27 equations, 2 unknowns)
   alpha = 0.85: relative residual 0.78767  (27 equations, 2 unknowns)
   alpha = 0.9: relative residual 0.83669  (27 equations, 2 unknowns)
   alpha = 0.95: relative residual 0.818875  (27 equations, 2 unknowns)
   alpha = 1.0: relative residual 0.8612  (27 equations, 2 unknowns)
   alpha = 1.05: relative residual 0.935018  (27 equations, 2 unknowns)
   alpha = 1.1: relative residual 0.980167  (27 equations, 2 unknowns)
   alpha = 1.15: relative residual 0.984141  (27 equations, 2 unknowns)
   alpha = 1.2: relative residual 0.953795  (27 equations, 2 unknowns)
   alpha = 1.25: gamma function pole
   alpha = 1.3: relative residual 0.985864  (27 equations, 2 unknowns)
   alpha = 1.35: relative residual 0.969349  (27 equations, 2 unknowns)
   alpha = 1.4: relative residual 0.973676  (27 equations, 2 unknowns)
   alpha = 1.45: relative residual 0.970739  (27 equations, 2 unknowns)
   alpha = 1.5: relative residual 0.753329  (27 equations, 2 unknowns)
   alpha = 1.55: relative residual 0.562034  (27 equations, 2 unknowns)
   alpha = 1.6: relative residual 0.488948  (27 equations, 2 unknowns)
   alpha = 1.65: relative residual 0.462432  (27 equations, 2 unknowns)
   alpha = 1.7: relative residual 0.455238  (27 equations, 2 unknowns)
   alpha = 1.75: gamma function pole
   alpha = 1.8: relative residual 0.470211  (27 equations, 2 unknowns)
   alpha = 1.85: relative residual 0.486979  (27 equations, 2 unknowns)
   alpha = 1.9: relative residual 0.507776  (27 equations, 2 unknowns)
   alpha = 1.95: relative residual 0.531385  (27 equations, 2 unknowns)
   alpha = 2.0: relative residual 0.556798  (27 equations, 2 unknowns)
   alpha = 2.05: relative residual 0.583198  (27 equations, 2 unknowns)
   alpha = 2.1: relative residual 0.609927  (27 equations, 2 unknowns)
   alpha = 2.15: relative residual 0.636474  (27 equations, 2 unknowns)
   alpha = 2.2: relative residual 0.662447  (27 equations, 2 unknowns)
   alpha = 2.25: gamma function pole
   alpha = 2.3: relative residual 0.71158  (27 equations, 2 unknowns)
   alpha = 2.35: relative residual 0.73439  (27 equations, 2 unknowns)
   alpha = 2.4: relative residual 0.755892  (27 equations, 2 unknowns)
   alpha = 2.45: relative residual 0.776042  (27 equations, 2 unknowns)
   alpha = 2.5: relative residual 0.794828  (27 equations, 2 unknowns)
   alpha = 2.55: relative residual 0.812266  (27 equations, 2 unknowns)
   alpha = 2.6: relative residual 0.828389  (27 equations, 2 unknowns)
   alpha = 2.65: relative residual 0.843246  (27 equations, 2 unknowns)
   alpha = 2.7: relative residual 0.856896  (27 equations, 2 unknowns)
   alpha = 2.75: relative residual 0.869404  (27 equations, 2 unknowns)
   alpha = 2.8: relative residual 0.880838  (27 equations, 2 unknowns)
   alpha = 2.85: relative residual 0.891268  (27 equations, 2 unknowns)
   alpha = 2.9: relative residual 0.900764  (27 equations, 2 unknowns)
   alpha = 2.95: relative residual 0.909396  (27 equations, 2 unknowns)
   alpha = 3.0: relative residual 0.917229  (27 equations, 2 unknowns)
   alpha = 3.05: relative residual 0.924328  (27 equations, 2 unknowns)
   alpha = 3.1: relative residual 0.930752  (27 equations, 2 unknowns)
   alpha = 3.15: relative residual 0.936559  (27 equations, 2 unknowns)
   alpha = 3.2: relative residual 0.941802  (27 equations, 2 unknowns)
   alpha = 3.25: gamma function pole
   alpha = 3.3: relative residual 0.950789  (27 equations, 2 unknowns)
   alpha = 3.35: relative residual 0.954622  (27 equations, 2 unknowns)
   alpha = 3.4: relative residual 0.958068  (27 equations, 2 unknowns)
   alpha = 3.45: relative residual 0.961164  (27 equations, 2 unknowns)
   alpha = 3.5: relative residual 0.963942  (27 equations, 2 unknowns)
   alpha = 3.55: relative residual 0.966432  (27 equations, 2 unknowns)
   alpha = 3.6: relative residual 0.968662  (27 equations, 2 unknowns)
   alpha = 3.65: relative residual 0.970657  (27 equations, 2 unknowns)
   alpha = 3.7: relative residual 0.97244  (27 equations, 2 unknowns)
   alpha = 3.75: relative residual 0.974033  (27 equations, 2 unknowns)
   alpha = 3.8: relative residual 0.975454  (27 equations, 2 unknowns)
   alpha = 3.85: relative residual 0.976719  (27 equations, 2 unknowns)
   alpha = 3.9: relative residual 0.977846  (27 equations, 2 unknowns)
   alpha = 3.95: relative residual 0.978848  (27 equations, 2 unknowns)
   alpha = 4.0: relative residual 0.979737  (27 equations, 2 unknowns)
   alpha = 4.05: relative residual 0.980526  (27 equations, 2 unknowns)
   alpha = 4.1: relative residual 0.981225  (27 equations, 2 unknowns)
   alpha = 4.15: relative residual 0.981843  (27 equations, 2 unknowns)
   alpha = 4.2: relative residual 0.982389  (27 equations, 2 unknowns)
   alpha = 4.25: gamma function pole
   alpha = 4.3: relative residual 0.983294  (27 equations, 2 unknowns)
   alpha = 4.35: relative residual 0.983667  (27 equations, 2 unknowns)
   alpha = 4.4: relative residual 0.983994  (27 equations, 2 unknowns)
   alpha = 4.45: relative residual 0.98428  (27 equations, 2 unknowns)
   alpha = 4.5: relative residual 0.984531  (27 equations, 2 unknowns)
   alpha = 4.55: relative residual 0.984749  (27 equations, 2 unknowns)
   alpha = 4.6: relative residual 0.984939  (27 equations, 2 unknowns)
   alpha = 4.65: relative residual 0.985104  (27 equations, 2 unknowns)
   alpha = 4.7: relative residual 0.985247  (27 equations, 2 unknowns)
   alpha = 4.75: relative residual 0.985371  (27 equations, 2 unknowns)
   alpha = 4.8: relative residual 0.985477  (27 equations, 2 unknowns)
   alpha = 4.85: relative residual 0.985568  (27 equations, 2 unknowns)
   alpha = 4.9: relative residual 0.985646  (27 equations, 2 unknowns)
   alpha = 4.95: relative residual 0.985712  (27 equations, 2 unknowns)
   alpha = 5.0: relative residual 0.985768  (27 equations, 2 unknowns)
   alpha = 5.05: relative residual 0.985816  (27 equations, 2 unknowns)
   alpha = 5.1: relative residual 0.985856  (27 equations, 2 unknowns)
   alpha = 5.15: relative residual 0.985889  (27 equations, 2 unknowns)
   alpha = 5.2: relative residual 0.985916  (27 equations, 2 unknowns)
   alpha = 5.25: gamma function pole
   alpha = 5.3: relative residual 0.985958  (27 equations, 2 unknowns)
   alpha = 5.35: relative residual 0.985972  (27 equations, 2 unknowns)
   alpha = 5.4: relative residual 0.985984  (27 equations, 2 unknowns)
   alpha = 5.45: relative residual 0.985994  (27 equations, 2 unknowns)
   alpha = 5.5: relative residual 0.986001  (27 equations, 2 unknowns)
