F00 1 1 00 = {0, 0, 0, -7/6, 0, 0, 0, 0, 0, 1129/120, 11/4, 0, 0, 13/20, 0, 0, 0, 0, 0, -54217/672, -247/8, -25/8, 0, 0, -795/56, -17/4, 0, 0, -19/56, 0, 0, 0, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 0, 0, 633467/2880, 1381/16, 147/16, 0, 0, 4097/288, 69/16, 0, 0, 25/144, 0, 0, 0, 0, 0}
F00 1 1 10 = {0, 0, 0, 0, 0, 0, -7/6, 0, 0, 0, 0, 0, 0, 1129/120, 11/4, 0, 13/20, 0, 0, 0, 0, 0, 0, 0, -54217/672, -247/8, -25/8, 0, -795/56, -17/4, 0, -19/56, 0, 0, 0, 0, 0, 0, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 0, 633467/2880, 1381/16, 147/16, 0, 4097/288, 69/16, 0, 25/144, 0, 0}
F00 1 1 01 = {0, 0, 0, 0, -7/6, 0, 0, 0, 0, 0, 1129/120, 11/4, 0, 0, 13/20, 0, 0, 0, 0, 0, -54217/672, -247/8, -25/8, 0, 0, -795/56, -17/4, 0, 0, -19/56, 0, 0, 0, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 0, 0, 633467/2880, 1381/16, 147/16, 0, 0, 4097/288, 69/16, 0, 0, 25/144, 0, 0, 0, 0}
F00 2 1 00 = {0, 0, 0, 14/15, 0, 0, 0, 0, 0, -409/42, -16/5, 0, 0, -4/7, 0, 0, 0, 0, 0, 69829/840, 507/14, 9/2, 0, 0, 611/42, 33/7, 0, 0, 13/42, 0, 0, 0, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, 0, 0, -178091/792, -1165/12, -12, 0, 0, -11483/792, -14/3, 0, 0, -16/99, 0, 0, 0, 0, 0}
F00 2 1 10 = {0, 0, 0, 0, 0, 0, 14/15, 0, 0, 0, 0, 0, 0, -409/42, -16/5, 0, -4/7, 0, 0, 0, 0, 0, 0, 0, 69829/840, 507/14, 9/2, 0, 611/42, 33/7, 0, 13/42, 0, 0, 0, 0, 0, 0, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, 0, -178091/792, -1165/12, -12, 0, -11483/792, -14/3, 0, -16/99, 0, 0}
F00 2 1 01 = {0, 0, 0, 0, 14/15, 0, 0, 0, 0, 0, -409/42, -16/5, 0, 0, -4/7, 0, 0, 0, 0, 0, 69829/840, 507/14, 9/2, 0, 0, 611/42, 33/7, 0, 0, 13/42, 0, 0, 0, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, 0, 0, -178091/792, -1165/12, -12, 0, 0, -11483/792, -14/3, 0, 0, -16/99, 0, 0, 0, 0}
F00 3 1 00 = {0, 0, 0, -4/5, 0, 0, 0, 0, 0, 354/35, 18/5, 0, 0, 18/35, 0, 0, 0, 0, 0, -11997/140, -583/14, -6, 0, 0, -209/14, -36/7, 0, 0, -2/7, 0, 0, 0, 0, 0, 221283/220, 10047/20, 92, 7, 0, 0, 151753/660, 108, 15, 0, 0, 488/33, 5, 0, 0, 5/33, 0, 0, 0, 0, 0}
F00 3 1 10 = {0, 0, 0, 0, 0, 0, -4/5, 0, 0, 0, 0, 0, 0, 354/35, 18/5, 0, 18/35, 0, 0, 0, 0, 0, 0, 0, -11997/140, -583/14, -6, 0, -209/14, -36/7, 0, -2/7, 0, 0, 0, 0, 0, 0, 0, 0, 221283/220, 10047/20, 92, 7, 0, 151753/660, 108, 15, 0, 488/33, 5, 0, 5/33, 0, 0}
F00 3 1 01 = {0, 0, 0, 0, -4/5, 0, 0, 0, 0, 0, 354/35, 18/5, 0, 0, 18/35, 0, 0, 0, 0, 0, -11997/140, -583/14, -6, 0, 0, -209/14, -36/7, 0, 0, -2/7, 0, 0, 0, 0, 0, 221283/220, 10047/20, 92, 7, 0, 0, 151753/660, 108, 15, 0, 0, 488/33, 5, 0, 0, 5/33, 0, 0, 0, 0}
F00 1 2 00 = {0, 0, 0, 7/2, 0, 0, 0, 0, 0, -245/8, -13/4, 0, 0, -15/4, 0, 0, 0, 0, 0, 12271/32, 465/8, 19/8, 0, 0, 571/8, 35/4, 0, 0, 23/8, 0, 0, 0, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, 0, 0, -93601/64, -3871/16, -189/16, 0, 0, -3107/32, -203/16, 0, 0, -31/16, 0, 0, 0, 0, 0}
F00 1 2 10 = {0, 0, 0, 0, 0, 0, 7/2, 0, 0, 0, 0, 0, 0, -245/8, -13/4, 0, -15/4, 0, 0, 0, 0, 0, 0, 0, 12271/32, 465/8, 19/8, 0, 571/8, 35/4, 0, 23/8, 0, 0, 0, 0, 0, 0, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, 0, -93601/64, -3871/16, -189/16, 0, -3107/32, -203/16, 0, -31/16, 0, 0}
F00 1 2 01 = {0, 0, 0, 0, 7/2, 0, 0, 0, 0, 0, -245/8, -13/4, 0, 0, -15/4, 0, 0, 0, 0, 0, 12271/32, 465/8, 19/8, 0, 0, 571/8, 35/4, 0, 0, 23/8, 0, 0, 0, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, 0, 0, -93601/64, -3871/16, -189/16, 0, 0, -3107/32, -203/16, 0, 0, -31/16, 0, 0, 0, 0}
F00 2 2 00 = {0, 0, 0, -14/3, 0, 0, 0, 0, 0, 1201/30, 6, 0, 0, 22/5, 0, 0, 0, 0, 0, -77977/168, -89, -11/2, 0, 0, -599/7, -13, 0, 0, -45/14, 0, 0, 0, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 0, 0, 605689/360, 1313/4, 21, 0, 0, 8015/72, 17, 0, 0, 19/9, 0, 0, 0, 0, 0}
F00 2 2 10 = {0, 0, 0, 0, 0, 0, -14/3, 0, 0, 0, 0, 0, 0, 1201/30, 6, 0, 22/5, 0, 0, 0, 0, 0, 0, 0, -77977/168, -89, -11/2, 0, -599/7, -13, 0, -45/14, 0, 0, 0, 0, 0, 0, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 0, 605689/360, 1313/4, 21, 0, 8015/72, 17, 0, 19/9, 0, 0}
F00 2 2 01 = {0, 0, 0, 0, -14/3, 0, 0, 0, 0, 0, 1201/30, 6, 0, 0, 22/5, 0, 0, 0, 0, 0, -77977/168, -89, -11/2, 0, 0, -599/7, -13, 0, 0, -45/14, 0, 0, 0, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 0, 0, 605689/360, 1313/4, 21, 0, 0, 8015/72, 17, 0, 0, 19/9, 0, 0, 0, 0}
F00 3 2 00 = {0, 0, 0, 28/5, 0, 0, 0, 0, 0, -1742/35, -46/5, 0, 0, -174/35, 0, 0, 0, 0, 0, 76619/140, 1753/14, 10, 0, 0, 4205/42, 124/7, 0, 0, 74/21, 0, 0, 0, 0, 0, -1855629/220, -40289/20, -196, -9, 0, 0, -419613/220, -1276/3, -33, 0, 0, -1384/11, -65/3, 0, 0, -25/11, 0, 0, 0, 0, 0}
F00 3 2 10 = {0, 0, 0, 0, 0, 0, 28/5, 0, 0, 0, 0, 0, 0, -1742/35, -46/5, 0, -174/35, 0, 0, 0, 0, 0, 0, 0, 76619/140, 1753/14, 10, 0, 4205/42, 124/7, 0, 74/21, 0, 0, 0, 0, 0, 0, 0, 0, -1855629/220, -40289/20, -196, -9, 0, -419613/220, -1276/3, -33, 0, -1384/11, -65/3, 0, -25/11, 0, 0}
F00 3 2 01 = {0, 0, 0, 0, 28/5, 0, 0, 0, 0, 0, -1742/35, -46/5, 0, 0, -174/35, 0, 0, 0, 0, 0, 76619/140, 1753/14, 10, 0, 0, 4205/42, 124/7, 0, 0, 74/21, 0, 0, 0, 0, 0, -1855629/220, -40289/20, -196, -9, 0, 0, -419613/220, -1276/3, -33, 0, 0, -1384/11, -65/3, 0, 0, -25/11, 0, 0, 0, 0}
F00 4 2 00 = {0, 0, 0, -32/5, 0, 0, 0, 0, 0, 2096/35, 64/5, 0, 0, 192/35, 0, 0, 0, 0, 0, -22154/35, -1168/7, -16, 0, 0, -2416/21, -160/7, 0, 0, -80/21, 0, 0, 0, 0, 0, 519228/55, 12584/5, 288, 16, 0, 0, 352648/165, 1600/3, 48, 0, 0, 4640/33, 80/3, 0, 0, 80/33, 0, 0, 0, 0, 0}
F00 4 2 10 = {0, 0, 0, 0, 0, 0, -32/5, 0, 0, 0, 0, 0, 0, 2096/35, 64/5, 0, 192/35, 0, 0, 0, 0, 0, 0, 0, -22154/35, -1168/7, -16, 0, -2416/21, -160/7, 0, -80/21, 0, 0, 0, 0, 0, 0, 0, 0, 519228/55, 12584/5, 288, 16, 0, 352648/165, 1600/3, 48, 0, 4640/33, 80/3, 0, 80/33, 0, 0}
F00 4 2 01 = {0, 0, 0, 0, -32/5, 0, 0, 0, 0, 0, 2096/35, 64/5, 0, 0, 192/35, 0, 0, 0, 0, 0, -22154/35, -1168/7, -16, 0, 0, -2416/21, -160/7, 0, 0, -80/21, 0, 0, 0, 0, 0, 519228/55, 12584/5, 288, 16, 0, 0, 352648/165, 1600/3, 48, 0, 0, 4640/33, 80/3, 0, 0, 80/33, 0, 0, 0, 0}
F00 1 3 00 = {0, 0, 0, -7/6, 0, 0, 0, 0, 0, 701/24, 3/4, 0, 0, 17/4, 0, 0, 0, 0, 0, -431065/672, -2285/56, -23/56, 0, 0, -985/8, -25/4, 0, 0, -45/8, 0, 0, 0, 0, 0, 6293093/384, 844621/576, 11261/288, 31/144, 0, 0, 705109/192, 4765/16, 99/16, 0, 0, 23555/96, 245/16, 0, 0, 259/48, 0, 0, 0, 0, 0}
F00 1 3 10 = {0, 0, 0, 0, 0, 0, -7/6, 0, 0, 0, 0, 0, 0, 701/24, 3/4, 0, 17/4, 0, 0, 0, 0, 0, 0, 0, -431065/672, -2285/56, -23/56, 0, -985/8, -25/4, 0, -45/8, 0, 0, 0, 0, 0, 0, 0, 0, 6293093/384, 844621/576, 11261/288, 31/144, 0, 705109/192, 4765/16, 99/16, 0, 23555/96, 245/16, 0, 259/48, 0, 0}
F00 1 3 01 = {0, 0, 0, 0, -7/6, 0, 0, 0, 0, 0, 701/24, 3/4, 0, 0, 17/4, 0, 0, 0, 0, 0, -431065/672, -2285/56, -23/56, 0, 0, -985/8, -25/4, 0, 0, -45/8, 0, 0, 0, 0, 0, 6293093/384, 844621/576, 11261/288, 31/144, 0, 0, 705109/192, 4765/16, 99/16, 0, 0, 23555/96, 245/16, 0, 0, 259/48, 0, 0, 0, 0}
F00 2 3 00 = {0, 0, 0, 14/3, 0, 0, 0, 0, 0, -359/6, -4, 0, 0, -8, 0, 0, 0, 0, 0, 172189/168, 1385/14, 39/14, 0, 0, 389/2, 15, 0, 0, 17/2, 0, 0, 0, 0, 0, -2195987/96, -189245/72, -7889/72, -16/9, 0, 0, -123239/24, -2159/4, -18, 0, 0, -8219/24, -28, 0, 0, -22/3, 0, 0, 0, 0, 0}
F00 2 3 10 = {0, 0, 0, 0, 0, 0, 14/3, 0, 0, 0, 0, 0, 0, -359/6, -4, 0, -8, 0, 0, 0, 0, 0, 0, 0, 172189/168, 1385/14, 39/14, 0, 389/2, 15, 0, 17/2, 0, 0, 0, 0, 0, 0, 0, 0, -2195987/96, -189245/72, -7889/72, -16/9, 0, -123239/24, -2159/4, -18, 0, -8219/24, -28, 0, -22/3, 0, 0}
F00 2 3 01 = {0, 0, 0, 0, 14/3, 0, 0, 0, 0, 0, -359/6, -4, 0, 0, -8, 0, 0, 0, 0, 0, 172189/168, 1385/14, 39/14, 0, 0, 389/2, 15, 0, 0, 17/2, 0, 0, 0, 0, 0, -2195987/96, -189245/72, -7889/72, -16/9, 0, 0, -123239/24, -2159/4, -18, 0, 0, -8219/24, -28, 0, 0, -22/3, 0, 0, 0, 0}
F00 3 3 00 = {0, 0, 0, -28/3, 0, 0, 0, 0, 0, 1498/15, 10, 0, 0, 62/5, 0, 0, 0, 0, 0, -17869/12, -2631/14, -58/7, 0, 0, -3921/14, -28, 0, 0, -82/7, 0, 0, 0, 0, 0, 1819507/60, 150907/36, 2104/9, 55/9, 0, 0, 1227137/180, 868, 39, 0, 0, 4084/9, 45, 0, 0, 85/9, 0, 0, 0, 0, 0}
