base branch = paperclip Riccati at orders 0..9: True
a01: finite columns 216, divergent 108 (functions {F00, F01, F02, F03, F10, F11, F12, F20, F21})
a01: scalar rank 26; functions with finite columns: ['F00', 'F02', 'F03', 'F10', 'F12', 'F20']
   q<=1 F00: 9 cols, +6 directions, Sol3 x, Sol1 x
   q<=1 F02: 9 cols, +6 directions, Sol3 x, Sol1 x
   q<=1 F03: 9 cols, +0 directions, Sol3 x, Sol1 x
   q<=1 F10: 9 cols, +3 directions, Sol3 x, Sol1 x
   q<=1 F12: 9 cols, +9 directions, Sol3 x, Sol1 x
   q<=1 F20: 9 cols, +3 directions, Sol3 x, Sol1 x
   q<=1 ALL: 54 cols, +25 directions, Sol3 C, Sol1 C
   q<=2 F00: 21 cols, +9 directions, Sol3 x, Sol1 x
   q<=2 F02: 21 cols, +9 directions, Sol3 x, Sol1 x
   q<=2 F03: 21 cols, +0 directions, Sol3 x, Sol1 x
   q<=2 F10: 21 cols, +6 directions, Sol3 x, Sol1 x
   q<=2 F12: 21 cols, +12 directions, Sol3 x, Sol1 x
   q<=2 F20: 21 cols, +6 directions, Sol3 x, Sol1 x
   q<=2 ALL: 126 cols, +29 directions, Sol3 C, Sol1 C
   q<=3 F00: 36 cols, +12 directions, Sol3 x, Sol1 x
   q<=3 F02: 36 cols, +12 directions, Sol3 x, Sol1 x
   q<=3 F03: 36 cols, +0 directions, Sol3 x, Sol1 x
   q<=3 F10: 36 cols, +9 directions, Sol3 x, Sol1 x
   q<=3 F12: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=3 F20: 36 cols, +9 directions, Sol3 x, Sol1 x
   q<=3 ALL: 216 cols, +29 directions, Sol3 C, Sol1 C
   q<=4 F00: 36 cols, +12 directions, Sol3 x, Sol1 x
   q<=4 F02: 36 cols, +12 directions, Sol3 x, Sol1 x
   q<=4 F03: 36 cols, +0 directions, Sol3 x, Sol1 x
   q<=4 F10: 36 cols, +9 directions, Sol3 x, Sol1 x
   q<=4 F12: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=4 F20: 36 cols, +9 directions, Sol3 x, Sol1 x
   q<=4 ALL: 216 cols, +29 directions, Sol3 C, Sol1 C
   q<=5 F00: 36 cols, +12 directions, Sol3 x, Sol1 x
   q<=5 F02: 36 cols, +12 directions, Sol3 x, Sol1 x
   q<=5 F03: 36 cols, +0 directions, Sol3 x, Sol1 x
   q<=5 F10: 36 cols, +9 directions, Sol3 x, Sol1 x
   q<=5 F12: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=5 F20: 36 cols, +9 directions, Sol3 x, Sol1 x
   q<=5 ALL: 216 cols, +29 directions, Sol3 C, Sol1 C
   q<=6 F00: 36 cols, +12 directions, Sol3 x, Sol1 x
   q<=6 F02: 36 cols, +12 directions, Sol3 x, Sol1 x
   q<=6 F03: 36 cols, +0 directions, Sol3 x, Sol1 x
   q<=6 F10: 36 cols, +9 directions, Sol3 x, Sol1 x
   q<=6 F12: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=6 F20: 36 cols, +9 directions, Sol3 x, Sol1 x
   q<=6 ALL: 216 cols, +29 directions, Sol3 C, Sol1 C
base branch = paperclip Riccati at orders 0..9: True
a0u: finite columns 216, divergent 108 (functions {F00, F01, F02, F03, F10, F11, F12, F20, F21})
a0u: scalar rank 26; functions with finite columns: ['F00', 'F02', 'F03', 'F10', 'F12', 'F20']
   q<=1 F00: 9 cols, +9 directions, Sol3 x, Sol1 x
   q<=1 F02: 9 cols, +9 directions, Sol3 x, Sol1 x
   q<=1 F03: 9 cols, +0 directions, Sol3 x, Sol1 x
   q<=1 F10: 9 cols, +9 directions, Sol3 x, Sol1 x
   q<=1 F12: 9 cols, +9 directions, Sol3 x, Sol1 x
   q<=1 F20: 9 cols, +9 directions, Sol3 x, Sol1 x
   q<=1 ALL: 54 cols, +29 directions, Sol3 C, Sol1 C
   q<=2 F00: 21 cols, +12 directions, Sol3 x, Sol1 x
   q<=2 F02: 21 cols, +12 directions, Sol3 x, Sol1 x
   q<=2 F03: 21 cols, +0 directions, Sol3 x, Sol1 x
   q<=2 F10: 21 cols, +12 directions, Sol3 x, Sol1 x
   q<=2 F12: 21 cols, +12 directions, Sol3 x, Sol1 x
   q<=2 F20: 21 cols, +12 directions, Sol3 x, Sol1 x
   q<=2 ALL: 126 cols, +29 directions, Sol3 C, Sol1 C
   q<=3 F00: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=3 F02: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=3 F03: 36 cols, +0 directions, Sol3 x, Sol1 x
   q<=3 F10: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=3 F12: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=3 F20: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=3 ALL: 216 cols, +29 directions, Sol3 C, Sol1 C
   q<=4 F00: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=4 F02: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=4 F03: 36 cols, +0 directions, Sol3 x, Sol1 x
   q<=4 F10: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=4 F12: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=4 F20: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=4 ALL: 216 cols, +29 directions, Sol3 C, Sol1 C
   q<=5 F00: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=5 F02: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=5 F03: 36 cols, +0 directions, Sol3 x, Sol1 x
   q<=5 F10: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=5 F12: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=5 F20: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=5 ALL: 216 cols, +29 directions, Sol3 C, Sol1 C
   q<=6 F00: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=6 F02: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=6 F03: 36 cols, +0 directions, Sol3 x, Sol1 x
   q<=6 F10: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=6 F12: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=6 F20: 36 cols, +15 directions, Sol3 x, Sol1 x
   q<=6 ALL: 216 cols, +29 directions, Sol3 C, Sol1 C
base branch = paperclip Riccati at orders 0..9: True
$Aborteddenominator not a power of w: 8*(-1 + w)^2
a10: scalar rank 26; functions with finite columns: []
OTHERS_DONE
