K0_1_0 00 = {0.33601394933360608597625902821520359218306238692964790549072715110487571969241`60., 0, 0, 0.01199628471586482819861400221559563941181214518770648721265590377366257200179`60., -0.03412586375912854063248144320854133491354254745821636194037465479516775798086`60., 0, 0.13009614148604716622139346093330645020803970895986825964162188498446833399515`60., 0, 0, 0.04204738189509561357854323488441523302273305362009738057671359294359851612378`60., -0.00797341419034231964196812321388246914717029145558096906654455718312668432574`59.785383501533055, 0.00764421222907074933209019139995967531205956343980238946243282747675119206273`60., 0, 0.37106455573264570416358443132815508320540886124515191889274902443852454142424`60., -0.07197770829518896919168401329357383647087287112623892327593542264197543201179`60., 0, 0.27803018711842602700575725420522016016980643431677177551346838481810206481528`60., 0, 0, 0.64742413110426232302276463434209341569135501968115601375265783970042358624458`60., -0.04723760320110929180318359431311751969360098876212486702302360732202760795751`59.96085801083604, 0.00447921156838213528569297345965568104931713889294272147893551802294784255992`59.705520792604055, -0.00217254948976585943185851129659672452515084609738938465749322101110837116737`60., 0, 5.94671055973796803534260932761711969610490396766273986419015191812916650049709`60., -0.4238732151382171601554853796038516690432678492676974692511158246368890098622`60., 0.03543080239815466907968976905853405365422109015414634021941860480535754939216`60., 0, 6.31803784773193224793789850135811740715496907429331510637049022275452689534086`60., -0.30255166621353942801239405944804155241796249844206539234437584187289304186549`60., 0, 1.37333007362527820404165741509316512022741859284631052823353182216331672264533`60., 0, 0, 34.29757830297597446576550018182848411559930788104466772875184121398715238963633`60., -1.08861679062043465313990152121433871827316463837013203300780399163490702754592`59.999027104019966, 0.03734479266712731246194866679419196666163678181936424693418968780872244157788`59.90625755319315, -0.00241577849076023547564901201133076111165208472511026656151388704662584067524`59.6674416526864, 0.00069489481245073987989181973090273168083676985927191960192555723775639341578`60., 0, 321.10040730754792439929336506446066198416125770165782142586610093230531850819368`60., -9.97791454824329212040034863993885827900111146950745664515406328706178274269037`60., 0.34238247493568105475626797164816123727825873912333349121192833721228611799455`60., -0.01686600645849996962406663718176726337928165525282060864404771603368558760255`60., 0, 389.86448212850872302448260729310764069834547687654361155667883657809940565212551`60., -10.50918869832704341908137613554531101319785838781286133835274563543614646607875`60., 0.23373075583846166406611625409081906141827373225192917060933758243278017509478`60., 0, 130.41349232422817420991930905560282874329075946723278687704077167687265209655563`60., -2.22683915688633885739900394173501472148750441338983861220779478101195786049849`60., 0, 11.98906590106195170028079843766605977739816499466137427188089377590082181838401`60., 0, 0}
K0_1_0 10 = {0, 0, 0.33601394933360608597625902821520359218306238692964790549072715110487571969241`60., 0, 0, 0, 0.01199628471586482819861400221559563941181214518770648721265590377366257200179`60., -0.03412586375912854063248144320854133491354254745821636194037465479516775798086`60., 0.13009614148604716622139346093330645020803970895986825964162188498446833399515`60., 0, 0, 0, 0, 0.04204738189509561357854323488441523302273305362009738057671359294359851612378`60., -0.00797341419034231964196812321388246914717029145558096906654455718312668432574`59.785383501533055, 0.00764421222907074933209019139995967531205956343980238946243282747675119206273`60., 0.37106455573264570416358443132815508320540886124515191889274902443852454142424`60., -0.07197770829518896919168401329357383647087287112623892327593542264197543201179`60., 0.27803018711842602700575725420522016016980643431677177551346838481810206481528`60., 0, 0, 0, 0, 0, 0.64742413110426232302276463434209341569135501968115601375265783970042358624458`60., -0.04723760320110929180318359431311751969360098876212486702302360732202760795751`59.96085801083604, 0.00447921156838213528569297345965568104931713889294272147893551802294784255992`59.705520792604055, -0.00217254948976585943185851129659672452515084609738938465749322101110837116737`60., 5.94671055973796803534260932761711969610490396766273986419015191812916650049709`60., -0.4238732151382171601554853796038516690432678492676974692511158246368890098622`60., 0.03543080239815466907968976905853405365422109015414634021941860480535754939216`60., 6.31803784773193224793789850135811740715496907429331510637049022275452689534086`60., -0.30255166621353942801239405944804155241796249844206539234437584187289304186549`60., 1.37333007362527820404165741509316512022741859284631052823353182216331672264533`60., 0, 0, 0, 0, 0, 0, 34.29757830297597446576550018182848411559930788104466772875184121398715238963633`60., -1.08861679062043465313990152121433871827316463837013203300780399163490702754592`59.999027104019966, 0.03734479266712731246194866679419196666163678181936424693418968780872244157788`59.90625755319315, -0.00241577849076023547564901201133076111165208472511026656151388704662584067524`59.6674416526864, 0.00069489481245073987989181973090273168083676985927191960192555723775639341578`60., 321.10040730754792439929336506446066198416125770165782142586610093230531850819368`60., -9.97791454824329212040034863993885827900111146950745664515406328706178274269037`60., 0.34238247493568105475626797164816123727825873912333349121192833721228611799455`60., -0.01686600645849996962406663718176726337928165525282060864404771603368558760255`60., 389.86448212850872302448260729310764069834547687654361155667883657809940565212551`60., -10.50918869832704341908137613554531101319785838781286133835274563543614646607875`60., 0.23373075583846166406611625409081906141827373225192917060933758243278017509478`60., 130.41349232422817420991930905560282874329075946723278687704077167687265209655563`60., -2.22683915688633885739900394173501472148750441338983861220779478101195786049849`60., 11.98906590106195170028079843766605977739816499466137427188089377590082181838401`60.}
K0_1_0 01 = {0, 0.33601394933360608597625902821520359218306238692964790549072715110487571969241`60., 0, 0, 0.01199628471586482819861400221559563941181214518770648721265590377366257200179`60., -0.03412586375912854063248144320854133491354254745821636194037465479516775798086`60., 0, 0.13009614148604716622139346093330645020803970895986825964162188498446833399515`60., 0, 0, 0.04204738189509561357854323488441523302273305362009738057671359294359851612378`60., -0.00797341419034231964196812321388246914717029145558096906654455718312668432574`59.785383501533055, 0.00764421222907074933209019139995967531205956343980238946243282747675119206273`60., 0, 0.37106455573264570416358443132815508320540886124515191889274902443852454142424`60., -0.07197770829518896919168401329357383647087287112623892327593542264197543201179`60., 0, 0.27803018711842602700575725420522016016980643431677177551346838481810206481528`60., 0, 0, 0.64742413110426232302276463434209341569135501968115601375265783970042358624458`60., -0.04723760320110929180318359431311751969360098876212486702302360732202760795751`59.96085801083604, 0.00447921156838213528569297345965568104931713889294272147893551802294784255992`59.705520792604055, -0.00217254948976585943185851129659672452515084609738938465749322101110837116737`60., 0, 5.94671055973796803534260932761711969610490396766273986419015191812916650049709`60., -0.4238732151382171601554853796038516690432678492676974692511158246368890098622`60., 0.03543080239815466907968976905853405365422109015414634021941860480535754939216`60., 0, 6.31803784773193224793789850135811740715496907429331510637049022275452689534086`60., -0.30255166621353942801239405944804155241796249844206539234437584187289304186549`60., 0, 1.37333007362527820404165741509316512022741859284631052823353182216331672264533`60., 0, 0, 34.29757830297597446576550018182848411559930788104466772875184121398715238963633`60., -1.08861679062043465313990152121433871827316463837013203300780399163490702754592`59.999027104019966, 0.03734479266712731246194866679419196666163678181936424693418968780872244157788`59.90625755319315, -0.00241577849076023547564901201133076111165208472511026656151388704662584067524`59.6674416526864, 0.00069489481245073987989181973090273168083676985927191960192555723775639341578`60., 0, 321.10040730754792439929336506446066198416125770165782142586610093230531850819368`60., -9.97791454824329212040034863993885827900111146950745664515406328706178274269037`60., 0.34238247493568105475626797164816123727825873912333349121192833721228611799455`60., -0.01686600645849996962406663718176726337928165525282060864404771603368558760255`60., 0, 389.86448212850872302448260729310764069834547687654361155667883657809940565212551`60., -10.50918869832704341908137613554531101319785838781286133835274563543614646607875`60., 0.23373075583846166406611625409081906141827373225192917060933758243278017509478`60., 0, 130.41349232422817420991930905560282874329075946723278687704077167687265209655563`60., -2.22683915688633885739900394173501472148750441338983861220779478101195786049849`60., 0, 11.98906590106195170028079843766605977739816499466137427188089377590082181838401`60., 0}
K0_1_1 00 = {0.19951049429709192344633325538103825252889219709678245772922853192408864766484`60., 0, 0, 0.00254807074302358311069673046665322510401985447993412982081094249225039735425`60., -0.01374129781493987574690759947531553408138371161874332337388711485727180277677`60., 0, 0.03412586375912854063248144320854133491354254745821636194037465479527498161072`60., 0, 0, 0.0058008005600200058239095819231369116128813165644066757735915734415875884358`60., -0.00230876069396179790021224235865938178373890275705159535351861427094676397061`59.769116456898836, 0.00243009345363268669562976428812753645169753280606786628444909705004172739281`60., 0, 0.05160648056700755356990032126062906269466629045850282016694509598085071504599`60., -0.01528842445814149866418038279991935062411912687960477892486565495340363638899`60., 0, 0.03598885414759448459584200664678691823543643556311946163796771132098785770822`60., 0, 0, 0.05016809906980249262652671223527706970727516473194510661966071181906313365635`60., -0.00577895962885690066848918007563658189826779133851162810156375740621169137852`59.877418554271934, 0.00129636698248481944102135748279983927238623021074649024484405964570717599362`59.72094557788942, -0.00058421848987845399210578048310476639752394356191071128166337589623032164696`60., 0, 0.45948670761289973595425456025443784439600385603023634393123216358152405163731`60., -0.05525197298374823681036827246082903837860959842697870646475574590675612089674`60., 0.00651764846929757829557553388979017357545253829216815397247966303330623407771`60., 0, 0.48177839727946877129458262387122748836371321841264306502224708294628164309984`60., -0.03543080239815466907968976905853405365422109015414634021941860480533866996777`60., 0, 0.10085055540451314267079801981601385080598749948068846411479194729045771859679`60., 0, 0, 1.64995484621997718373476668823129687732984804260383107719003396053027324513292`60., -0.08217845172760877055470556172065508960948429092399453578173918776047157536235`59.99344188835062, 0.00419652159949829358991520332148816428681288125171345021771933401426670412678`59.75280838122363, -0.00066836274975393859013966337933081396807627943208547418882754699550629881064`59.70277430967507, 0.00016417613057581145925490268352259373939770552040361667599590926287424008035`60., 0, 15.43763105448134724431228347031462249562997819769783707375155571497784064286581`60., -0.748866114368680568354955326136558494695173607828485642422369184982421969786`60., 0.04227487253434101918153246803928142193559351508436858707757103651901348154463`60., -0.00277957924980295951956727892361092672334707943708767840770222895103755111945`60., 0, 18.66536942112562014599987666714243593379068066909344872048383073187526172321526`60., -0.77409875081270041892662832142061116475691909767526696383761026468387502932819`60., 0.0252990096877499544360999557726508950689224828792309129660715740505272669459`60., 0, 6.17895216775589702801466872856956053327413252230974188389645498383845857483148`60., -0.15582050389230777604407750272721270761218248816795278040622505495503573970677`60., 0, 0.55670978922158471434975098543375368037187610334745965305194869525633482339208`60., 0, 0}
K0_1_1 10 = {0, 0, 0.19951049429709192344633325538103825252889219709678245772922853192408864766484`60., 0, 0, 0, 0.00254807074302358311069673046665322510401985447993412982081094249225039735425`60., -0.01374129781493987574690759947531553408138371161874332337388711485727180277677`60., 0.03412586375912854063248144320854133491354254745821636194037465479527498161072`60., 0, 0, 0, 0, 0.0058008005600200058239095819231369116128813165644066757735915734415875884358`60., -0.00230876069396179790021224235865938178373890275705159535351861427094676397061`59.769116456898836, 0.00243009345363268669562976428812753645169753280606786628444909705004172739281`60., 0.05160648056700755356990032126062906269466629045850282016694509598085071504599`60., -0.01528842445814149866418038279991935062411912687960477892486565495340363638899`60., 0.03598885414759448459584200664678691823543643556311946163796771132098785770822`60., 0, 0, 0, 0, 0, 0.05016809906980249262652671223527706970727516473194510661966071181906313365635`60., -0.00577895962885690066848918007563658189826779133851162810156375740621169137852`59.877418554271934, 0.00129636698248481944102135748279983927238623021074649024484405964570717599362`59.72094557788942, -0.00058421848987845399210578048310476639752394356191071128166337589623032164696`60., 0.45948670761289973595425456025443784439600385603023634393123216358152405163731`60., -0.05525197298374823681036827246082903837860959842697870646475574590675612089674`60., 0.00651764846929757829557553388979017357545253829216815397247966303330623407771`60., 0.48177839727946877129458262387122748836371321841264306502224708294628164309984`60., -0.03543080239815466907968976905853405365422109015414634021941860480533866996777`60., 0.10085055540451314267079801981601385080598749948068846411479194729045771859679`60., 0, 0, 0, 0, 0, 0, 1.64995484621997718373476668823129687732984804260383107719003396053027324513292`60., -0.08217845172760877055470556172065508960948429092399453578173918776047157536235`59.99344188835062, 0.00419652159949829358991520332148816428681288125171345021771933401426670412678`59.75280838122363, -0.00066836274975393859013966337933081396807627943208547418882754699550629881064`59.70277430967507, 0.00016417613057581145925490268352259373939770552040361667599590926287424008035`60., 15.43763105448134724431228347031462249562997819769783707375155571497784064286581`60., -0.748866114368680568354955326136558494695173607828485642422369184982421969786`60., 0.04227487253434101918153246803928142193559351508436858707757103651901348154463`60., -0.00277957924980295951956727892361092672334707943708767840770222895103755111945`60., 18.66536942112562014599987666714243593379068066909344872048383073187526172321526`60., -0.77409875081270041892662832142061116475691909767526696383761026468387502932819`60., 0.0252990096877499544360999557726508950689224828792309129660715740505272669459`60., 6.17895216775589702801466872856956053327413252230974188389645498383845857483148`60., -0.15582050389230777604407750272721270761218248816795278040622505495503573970677`60., 0.55670978922158471434975098543375368037187610334745965305194869525633482339208`60.}
K0_1_1 01 = {0, 0.19951049429709192344633325538103825252889219709678245772922853192408864766484`60., 0, 0, 0.00254807074302358311069673046665322510401985447993412982081094249225039735425`60., -0.01374129781493987574690759947531553408138371161874332337388711485727180277677`60., 0, 0.03412586375912854063248144320854133491354254745821636194037465479527498161072`60., 0, 0, 0.0058008005600200058239095819231369116128813165644066757735915734415875884358`60., -0.00230876069396179790021224235865938178373890275705159535351861427094676397061`59.769116456898836, 0.00243009345363268669562976428812753645169753280606786628444909705004172739281`60., 0, 0.05160648056700755356990032126062906269466629045850282016694509598085071504599`60., -0.01528842445814149866418038279991935062411912687960477892486565495340363638899`60., 0, 0.03598885414759448459584200664678691823543643556311946163796771132098785770822`60., 0, 0, 0.05016809906980249262652671223527706970727516473194510661966071181906313365635`60., -0.00577895962885690066848918007563658189826779133851162810156375740621169137852`59.877418554271934, 0.00129636698248481944102135748279983927238623021074649024484405964570717599362`59.72094557788942, -0.00058421848987845399210578048310476639752394356191071128166337589623032164696`60., 0, 0.45948670761289973595425456025443784439600385603023634393123216358152405163731`60., -0.05525197298374823681036827246082903837860959842697870646475574590675612089674`60., 0.00651764846929757829557553388979017357545253829216815397247966303330623407771`60., 0, 0.48177839727946877129458262387122748836371321841264306502224708294628164309984`60., -0.03543080239815466907968976905853405365422109015414634021941860480533866996777`60., 0, 0.10085055540451314267079801981601385080598749948068846411479194729045771859679`60., 0, 0, 1.64995484621997718373476668823129687732984804260383107719003396053027324513292`60., -0.08217845172760877055470556172065508960948429092399453578173918776047157536235`59.99344188835062, 0.00419652159949829358991520332148816428681288125171345021771933401426670412678`59.75280838122363, -0.00066836274975393859013966337933081396807627943208547418882754699550629881064`59.70277430967507, 0.00016417613057581145925490268352259373939770552040361667599590926287424008035`60., 0, 15.43763105448134724431228347031462249562997819769783707375155571497784064286581`60., -0.748866114368680568354955326136558494695173607828485642422369184982421969786`60., 0.04227487253434101918153246803928142193559351508436858707757103651901348154463`60., -0.00277957924980295951956727892361092672334707943708767840770222895103755111945`60., 0, 18.66536942112562014599987666714243593379068066909344872048383073187526172321526`60., -0.77409875081270041892662832142061116475691909767526696383761026468387502932819`60., 0.0252990096877499544360999557726508950689224828792309129660715740505272669459`60., 0, 6.17895216775589702801466872856956053327413252230974188389645498383845857483148`60., -0.15582050389230777604407750272721270761218248816795278040622505495503573970677`60., 0, 0.55670978922158471434975098543375368037187610334745965305194869525633482339208`60., 0}
K0_1_2 00 = {0.14454530303733242045870285747977611620335735062180916423368007249491831429744`60., 0, 0, 0.00081003115121089556520992142937584548389917760202262209481636568334724246427`60., -0.00726104860525271122522822804030877021019029080256234661535618939051593493785`60., 0, 0.01374129781493987574690759947531553408138371161874332337388711485729387465202`60., 0, 0, 0.00134609286367289490112646807892938135197325720774667435915893840961629882839`60., -0.00113782416731585308699463417126395529342187058030485421438007798628736966368`59.795255876062186, 0.00102796907792439711457589112867609709764006825748215920845699489908847119879`60., 0, 0.01238306637666523392793219804674659354749599900292185110040053879767928720448`60., -0.004860186907265373391259528576255072903395065612135732568898194100082486303`60., 0, 0.00764421222907074933209019139995967531205956343980238946243282747668623041366`60., 0, 0, 0.00649458001292869547575150541982550205673622926184649577126254562742678463178`60., -0.00109533995009669769264719112577974489998936321580493731825560894639350939729`59.725569697228096, 0.00058984869364979501734576881365199317593136627824602064387683266768154472294`59.76738082534251, -0.0002089587628480277995231457779102664217577595152738731651012975810892014633`60., 0, 0.05906626927086369178638080804688613324412368350351661382093390624728307930609`60., -0.0120314748836594871381471512709136841078447165232146908704846618058975432952`60., 0.00175265546963536197631734144931429919257183068573213384499012768869096494089`60., 0, 0.06041047939165179845271337739075465068888197682136204706813320847452596303124`60., -0.00651764846929757829557553388979017357545253829216815397247966303332676685994`60., 0, 0.01181026746605155635989658968617801788474036338471544673980620160178597636127`60., 0, 0, 0.12317597585675222588241386939931294368230272862124452665913607508166756801763`60., -0.01014902461859040152433290573248187623836202936999321169867376565357243288626`59.96989842641199, 0.00072751593592163045112867004859825731321468905336916977850207352535555043458`59.53188727635715, -0.00027420336183639797356917730754737487497302897849629993399749406819207703563`59.75716800558456, 0.00005135622603996238613231278637141471151218877001562518874809543781483306952`60., 0, 1.15115468027772425592345952665472933264283525329570499695879068517313670189604`60., -0.09162342182302032516788032274069000424749520867620343633545787980174790151309`60., 0.00847292295202761547933854609272514434081733473753857364197871409331190481483`60., -0.00065670452230324583701961073409037495759082208161446670398363705149696032139`60., 0, 1.38091116486735725748034675908005171706637928005032015148530279942042737818459`60., -0.09138883680509834204061725830272689719216535180913930470694589898082748800108`60., 0.00416936887470443927935091838541639008502061915563151761155334342655778529311`60., 0, 0.44825650804117586317233317891283551215616009638077753607515651035941777708212`60., -0.01686600645849996962406663718176726337928165525282060864404771603368678944924`60., 0, 0.03895512597307694401101937568180317690304562204198819510155626373879746427992`60., 0, 0}
K0_1_2 10 = {0, 0, 0.14454530303733242045870285747977611620335735062180916423368007249491831429744`60., 0, 0, 0, 0.00081003115121089556520992142937584548389917760202262209481636568334724246427`60., -0.00726104860525271122522822804030877021019029080256234661535618939051593493785`60., 0.01374129781493987574690759947531553408138371161874332337388711485729387465202`60., 0, 0, 0, 0, 0.00134609286367289490112646807892938135197325720774667435915893840961629882839`60., -0.00113782416731585308699463417126395529342187058030485421438007798628736966368`59.795255876062186, 0.00102796907792439711457589112867609709764006825748215920845699489908847119879`60., 0.01238306637666523392793219804674659354749599900292185110040053879767928720448`60., -0.004860186907265373391259528576255072903395065612135732568898194100082486303`60., 0.00764421222907074933209019139995967531205956343980238946243282747668623041366`60., 0, 0, 0, 0, 0, 0.00649458001292869547575150541982550205673622926184649577126254562742678463178`60., -0.00109533995009669769264719112577974489998936321580493731825560894639350939729`59.725569697228096, 0.00058984869364979501734576881365199317593136627824602064387683266768154472294`59.76738082534251, -0.0002089587628480277995231457779102664217577595152738731651012975810892014633`60., 0.05906626927086369178638080804688613324412368350351661382093390624728307930609`60., -0.0120314748836594871381471512709136841078447165232146908704846618058975432952`60., 0.00175265546963536197631734144931429919257183068573213384499012768869096494089`60., 0.06041047939165179845271337739075465068888197682136204706813320847452596303124`60., -0.00651764846929757829557553388979017357545253829216815397247966303332676685994`60., 0.01181026746605155635989658968617801788474036338471544673980620160178597636127`60., 0, 0, 0, 0, 0, 0, 0.12317597585675222588241386939931294368230272862124452665913607508166756801763`60., -0.01014902461859040152433290573248187623836202936999321169867376565357243288626`59.96989842641199, 0.00072751593592163045112867004859825731321468905336916977850207352535555043458`59.53188727635715, -0.00027420336183639797356917730754737487497302897849629993399749406819207703563`59.75716800558456, 0.00005135622603996238613231278637141471151218877001562518874809543781483306952`60., 1.15115468027772425592345952665472933264283525329570499695879068517313670189604`60., -0.09162342182302032516788032274069000424749520867620343633545787980174790151309`60., 0.00847292295202761547933854609272514434081733473753857364197871409331190481483`60., -0.00065670452230324583701961073409037495759082208161446670398363705149696032139`60., 1.38091116486735725748034675908005171706637928005032015148530279942042737818459`60., -0.09138883680509834204061725830272689719216535180913930470694589898082748800108`60., 0.00416936887470443927935091838541639008502061915563151761155334342655778529311`60., 0.44825650804117586317233317891283551215616009638077753607515651035941777708212`60., -0.01686600645849996962406663718176726337928165525282060864404771603368678944924`60., 0.03895512597307694401101937568180317690304562204198819510155626373879746427992`60.}
K0_1_2 01 = {0, 0.14454530303733242045870285747977611620335735062180916423368007249491831429744`60., 0, 0, 0.00081003115121089556520992142937584548389917760202262209481636568334724246427`60., -0.00726104860525271122522822804030877021019029080256234661535618939051593493785`60., 0, 0.01374129781493987574690759947531553408138371161874332337388711485729387465202`60., 0, 0, 0.00134609286367289490112646807892938135197325720774667435915893840961629882839`60., -0.00113782416731585308699463417126395529342187058030485421438007798628736966368`59.795255876062186, 0.00102796907792439711457589112867609709764006825748215920845699489908847119879`60., 0, 0.01238306637666523392793219804674659354749599900292185110040053879767928720448`60., -0.004860186907265373391259528576255072903395065612135732568898194100082486303`60., 0, 0.00764421222907074933209019139995967531205956343980238946243282747668623041366`60., 0, 0, 0.00649458001292869547575150541982550205673622926184649577126254562742678463178`60., -0.00109533995009669769264719112577974489998936321580493731825560894639350939729`59.725569697228096, 0.00058984869364979501734576881365199317593136627824602064387683266768154472294`59.76738082534251, -0.0002089587628480277995231457779102664217577595152738731651012975810892014633`60., 0, 0.05906626927086369178638080804688613324412368350351661382093390624728307930609`60., -0.0120314748836594871381471512709136841078447165232146908704846618058975432952`60., 0.00175265546963536197631734144931429919257183068573213384499012768869096494089`60., 0, 0.06041047939165179845271337739075465068888197682136204706813320847452596303124`60., -0.00651764846929757829557553388979017357545253829216815397247966303332676685994`60., 0, 0.01181026746605155635989658968617801788474036338471544673980620160178597636127`60., 0, 0, 0.12317597585675222588241386939931294368230272862124452665913607508166756801763`60., -0.01014902461859040152433290573248187623836202936999321169867376565357243288626`59.96989842641199, 0.00072751593592163045112867004859825731321468905336916977850207352535555043458`59.53188727635715, -0.00027420336183639797356917730754737487497302897849629993399749406819207703563`59.75716800558456, 0.00005135622603996238613231278637141471151218877001562518874809543781483306952`60., 0, 1.15115468027772425592345952665472933264283525329570499695879068517313670189604`60., -0.09162342182302032516788032274069000424749520867620343633545787980174790151309`60., 0.00847292295202761547933854609272514434081733473753857364197871409331190481483`60., -0.00065670452230324583701961073409037495759082208161446670398363705149696032139`60., 0, 1.38091116486735725748034675908005171706637928005032015148530279942042737818459`60., -0.09138883680509834204061725830272689719216535180913930470694589898082748800108`60., 0.00416936887470443927935091838541639008502061915563151761155334342655778529311`60., 0, 0.44825650804117586317233317891283551215616009638077753607515651035941777708212`60., -0.01686600645849996962406663718176726337928165525282060864404771603368678944924`60., 0, 0.03895512597307694401101937568180317690304562204198819510155626373879746427992`60., 0}
K0_2_0 00 = {0.5203845659441886648855738437332258008321588358394730385664875399377549987907`60., 0, 0, 0.08068044432361051413663841585281108064478999958455077129183355783213938164962`60., -0.09597027772691862558891201772476511529449716150165189770124723018930057601429`60., 0, 0.74141383231580273868201934454725376045281715817805806803591569284641562921124`60., 0, 0, 0.48009118454388793696937422909003004046360208516305732456785057643169263338324`60., -0.04907210027628287292001704726226553565299569990967971267476837111630807627748`59.85852678020641, 0.02834464191852373526375181524682724292337687212331707217553488384423652394316`60., 0, 4.24483334571207741119299826952670049031186756839503302324069922132480130670331`60., -0.48408266594166308481983049511686648386873999750730462775100134699422869762008`60., 0, 3.29599217670066768969997779622359628854580462283114526776047637318960948055616`60., 0, 0, 12.55588913284868407603773740860507753825689487305585504579896563421647550196532`60., -0.5714398576271365061910436651386650824125408097524687803130778160962267116228`59.992795087670366, 0.02665589422882783988611121240280433255148462805808470012491896935458551694513`59.76368423357657, -0.00963771797628569692803807838958129335958951728732606208231298059067747863002`60., 0, 115.46063690619225416612544974848247494818201168209234205108957532574186125358497`60., -5.04300044598571688749963048819851599171161483664531470997782966818268812572769`60., 0.26712086381538475893270429038950749876374140828791905212495723706753549247333`60., 0, 123.53346941216256471691888434871116140863086906514056602946500577252441027974387`60., -3.8174385546622951841125781858314538082642932800968661923562196246170571260705`60., 0, 27.40357920242731817207039642895099377691009141636885547858490005922550680058665`60., 0, 0, 1008.73225884309448014167952430726839089967207022944514328135412824449427623853441`60., -21.43506198339956895725732852154237030357224837660958629256062667066064957179444`59.99993253539402, 0.47597448006179538879617368316820186964718312113079469485716397213609968335234`59.97823618498517, -0.014124453673396263526323817129054823565847653103733796887960695840576288089`59.69955501135785, 0.00352160680217425252612483956453908416398364395393323255908637177066500348486`60., 0, 9447.3151103636894161638524028839417796534551801584326881220307336118051609930777`60., -196.93764447076728711342717908048954587186542191000110454404364307934484586358924`60., 4.21015707144474578071740455274158120317038239479504936560576770830599873834917`60., -0.13895449743380780642001086554544544423290083291513217176217733892150119579411`60., 0, 11497.62575447854609254988369576730780595586294718621803694166836958420948566170584`60., -209.54410692416064712064686699133581625086885346854150156812536436105236757546955`60., 3.10652797949104662203238965851170302081298288783282874770235458908515661565336`60., 0, 3868.89388483756531442957861494245776040787034175735118917443267154721636307676923`60., -45.72942444736146794372418980892922438810515556525565847531578032259132941303797`60., 0, 359.8759557795228461257426429683090890702093491662587764103619041790794004482214`60., 0, 0}
K0_2_0 10 = {0, 0, 0.5203845659441886648855738437332258008321588358394730385664875399377549987907`60., 0, 0, 0, 0.08068044432361051413663841585281108064478999958455077129183355783213938164962`60., -0.09597027772691862558891201772476511529449716150165189770124723018930057601429`60., 0.74141383231580273868201934454725376045281715817805806803591569284641562921124`60., 0, 0, 0, 0, 0.48009118454388793696937422909003004046360208516305732456785057643169263338324`60., -0.04907210027628287292001704726226553565299569990967971267476837111630807627748`59.85852678020641, 0.02834464191852373526375181524682724292337687212331707217553488384423652394316`60., 4.24483334571207741119299826952670049031186756839503302324069922132480130670331`60., -0.48408266594166308481983049511686648386873999750730462775100134699422869762008`60., 3.29599217670066768969997779622359628854580462283114526776047637318960948055616`60., 0, 0, 0, 0, 0, 12.55588913284868407603773740860507753825689487305585504579896563421647550196532`60., -0.5714398576271365061910436651386650824125408097524687803130778160962267116228`59.992795087670366, 0.02665589422882783988611121240280433255148462805808470012491896935458551694513`59.76368423357657, -0.00963771797628569692803807838958129335958951728732606208231298059067747863002`60., 115.46063690619225416612544974848247494818201168209234205108957532574186125358497`60., -5.04300044598571688749963048819851599171161483664531470997782966818268812572769`60., 0.26712086381538475893270429038950749876374140828791905212495723706753549247333`60., 123.53346941216256471691888434871116140863086906514056602946500577252441027974387`60., -3.8174385546622951841125781858314538082642932800968661923562196246170571260705`60., 27.40357920242731817207039642895099377691009141636885547858490005922550680058665`60., 0, 0, 0, 0, 0, 0, 1008.73225884309448014167952430726839089967207022944514328135412824449427623853441`60., -21.43506198339956895725732852154237030357224837660958629256062667066064957179444`59.99993253539402, 0.47597448006179538879617368316820186964718312113079469485716397213609968335234`59.97823618498517, -0.014124453673396263526323817129054823565847653103733796887960695840576288089`59.69955501135785, 0.00352160680217425252612483956453908416398364395393323255908637177066500348486`60., 9447.3151103636894161638524028839417796534551801584326881220307336118051609930777`60., -196.93764447076728711342717908048954587186542191000110454404364307934484586358924`60., 4.21015707144474578071740455274158120317038239479504936560576770830599873834917`60., -0.13895449743380780642001086554544544423290083291513217176217733892150119579411`60., 11497.62575447854609254988369576730780595586294718621803694166836958420948566170584`60., -209.54410692416064712064686699133581625086885346854150156812536436105236757546955`60., 3.10652797949104662203238965851170302081298288783282874770235458908515661565336`60., 3868.89388483756531442957861494245776040787034175735118917443267154721636307676923`60., -45.72942444736146794372418980892922438810515556525565847531578032259132941303797`60., 359.8759557795228461257426429683090890702093491662587764103619041790794004482214`60.}
