exp_1_0 00 = {0.6894680390353280265108378099785544790869741331404133706180561144559001359339`60., 0, 0, 0.0166938143297810012426955223427447412072019124909568767477213803651203188719`60., -0.0776329902411679933722905475053613802282564667148966573454859713860137319643`60., 0, 0.21118350487941600331385472624731930988587176664255167132725701430697628293951`60., 0, 0, 0.03069332326771102179675356815684483387486622491428349866902411498680086984159`60., -0.0115703590787952710222659196314318720884990196386871649822866845083659753631`59.7125545082945, 0.0162865993830659826022626872015736230991732251266037255319006748896281583202`60., 0, 0.26956095316531013033323495005427951434757487444035659604230425739990565384827`60., -0.10016288597868600745617313405646844724321147494574126048632828219015936071991`60., 0, 0.18342835015423350434943432819960659422520669371834906861702483127759296041995`60., 0, 0, 0.14313526960427449520288365790097661541292895292017341704159848023486550993986`60., -0.02882902856473038615903160648134560442284763919796739805556710851441286877278`59.854793684260095, 0.00733058906306908107339992486960117106920596194242658591645001207399508775387`59.66923899386099, -0.00418470959525581296693449493835007465974643417598451996789959957317515638484`60., 0, 1.3043656414745148942608132091503275784978286071120183569139797801744812401563`60., -0.28075370678369107103197248217169769980584003727469459695571851520185745728098`60., 0.04224355450784627640727984978332575065304064043283363088907933275681526333152`60., 0, 1.33311392311390803750450889972573698066686861225137850041756162721124755405234`60., -0.16668363395611312577668470146421546325450119530684804796732586272814162539211`60., 0, 0.25706604335214406806624036049354415332392523303241101043250201621834831531009`60., 0, 0, 1.73094618945902960223349062661905516318740334580495469350574377372774558327585`60., -0.22351611854545625147577048516521916914718107123964244257104984725324909765785`59.98740791193194, 0.0185528021099422546187124830398253064202079154530092183945162626399520553369`59.657234749832305, -0.00423849527193998995153286964269106313431089544476281344481611601466802767718`59.67161296238534, 0.00119741354955780355564302516702897987251742587873782650338252188238070480906`60., 0, 16.15221455287257789819184737693427374824806268042539223053201899771500968107458`60., -2.00290687871877518116867361089716533312311399674192192382171872132360272647476`60., 0.20818888911244846737027947433816008341139255896362496229716990223065830127486`60., -0.01731883167121265521211121289816072389305078044451337474147197818841904660325`60., 0, 19.16172357583302991075084696510398931970035345300860277364473399579008893212675`60., -1.99005775220587672177684857676567854193845100822889324208020572689330866299172`60., 0.108885069517233493198229245220778498526277985514762614943465713724910566803`60., 0, 6.04207192739764335056427266987015054439522649864712211770532517106948471840528`60., -0.35263345605851946241285455500957658141841012721105790694260510845736027031387`60., 0, 0.49394475787356705191752745023989934099417042370810150662470416693927958558184`60., 0, 0}
exp_1_0 10 = {0, 0, 0.6894680390353280265108378099785544790869741331404133706180561144559001359339`60., 0, 0, 0, 0.0166938143297810012426955223427447412072019124909568767477213803651203188719`60., -0.0776329902411679933722905475053613802282564667148966573454859713860137319643`60., 0.21118350487941600331385472624731930988587176664255167132725701430697628293951`60., 0, 0, 0, 0, 0.03069332326771102179675356815684483387486622491428349866902411498680086984159`60., -0.0115703590787952710222659196314318720884990196386871649822866845083659753631`59.7125545082945, 0.0162865993830659826022626872015736230991732251266037255319006748896281583202`60., 0.26956095316531013033323495005427951434757487444035659604230425739990565384827`60., -0.10016288597868600745617313405646844724321147494574126048632828219015936071991`60., 0.18342835015423350434943432819960659422520669371834906861702483127759296041995`60., 0, 0, 0, 0, 0, 0.14313526960427449520288365790097661541292895292017341704159848023486550993986`60., -0.02882902856473038615903160648134560442284763919796739805556710851441286877278`59.854793684260095, 0.00733058906306908107339992486960117106920596194242658591645001207399508775387`59.66923899386099, -0.00418470959525581296693449493835007465974643417598451996789959957317515638484`60., 1.3043656414745148942608132091503275784978286071120183569139797801744812401563`60., -0.28075370678369107103197248217169769980584003727469459695571851520185745728098`60., 0.04224355450784627640727984978332575065304064043283363088907933275681526333152`60., 1.33311392311390803750450889972573698066686861225137850041756162721124755405234`60., -0.16668363395611312577668470146421546325450119530684804796732586272814162539211`60., 0.25706604335214406806624036049354415332392523303241101043250201621834831531009`60., 0, 0, 0, 0, 0, 0, 1.73094618945902960223349062661905516318740334580495469350574377372774558327585`60., -0.22351611854545625147577048516521916914718107123964244257104984725324909765785`59.98740791193194, 0.0185528021099422546187124830398253064202079154530092183945162626399520553369`59.657234749832305, -0.00423849527193998995153286964269106313431089544476281344481611601466802767718`59.67161296238534, 0.00119741354955780355564302516702897987251742587873782650338252188238070480906`60., 16.15221455287257789819184737693427374824806268042539223053201899771500968107458`60., -2.00290687871877518116867361089716533312311399674192192382171872132360272647476`60., 0.20818888911244846737027947433816008341139255896362496229716990223065830127486`60., -0.01731883167121265521211121289816072389305078044451337474147197818841904660325`60., 19.16172357583302991075084696510398931970035345300860277364473399579008893212675`60., -1.99005775220587672177684857676567854193845100822889324208020572689330866299172`60., 0.108885069517233493198229245220778498526277985514762614943465713724910566803`60., 6.04207192739764335056427266987015054439522649864712211770532517106948471840528`60., -0.35263345605851946241285455500957658141841012721105790694260510845736027031387`60., 0.49394475787356705191752745023989934099417042370810150662470416693927958558184`60.}
exp_1_0 01 = {0, 0.6894680390353280265108378099785544790869741331404133706180561144559001359339`60., 0, 0, 0.0166938143297810012426955223427447412072019124909568767477213803651203188719`60., -0.0776329902411679933722905475053613802282564667148966573454859713860137319643`60., 0, 0.21118350487941600331385472624731930988587176664255167132725701430697628293951`60., 0, 0, 0.03069332326771102179675356815684483387486622491428349866902411498680086984159`60., -0.0115703590787952710222659196314318720884990196386871649822866845083659753631`59.7125545082945, 0.0162865993830659826022626872015736230991732251266037255319006748896281583202`60., 0, 0.26956095316531013033323495005427951434757487444035659604230425739990565384827`60., -0.10016288597868600745617313405646844724321147494574126048632828219015936071991`60., 0, 0.18342835015423350434943432819960659422520669371834906861702483127759296041995`60., 0, 0, 0.14313526960427449520288365790097661541292895292017341704159848023486550993986`60., -0.02882902856473038615903160648134560442284763919796739805556710851441286877278`59.854793684260095, 0.00733058906306908107339992486960117106920596194242658591645001207399508775387`59.66923899386099, -0.00418470959525581296693449493835007465974643417598451996789959957317515638484`60., 0, 1.3043656414745148942608132091503275784978286071120183569139797801744812401563`60., -0.28075370678369107103197248217169769980584003727469459695571851520185745728098`60., 0.04224355450784627640727984978332575065304064043283363088907933275681526333152`60., 0, 1.33311392311390803750450889972573698066686861225137850041756162721124755405234`60., -0.16668363395611312577668470146421546325450119530684804796732586272814162539211`60., 0, 0.25706604335214406806624036049354415332392523303241101043250201621834831531009`60., 0, 0, 1.73094618945902960223349062661905516318740334580495469350574377372774558327585`60., -0.22351611854545625147577048516521916914718107123964244257104984725324909765785`59.98740791193194, 0.0185528021099422546187124830398253064202079154530092183945162626399520553369`59.657234749832305, -0.00423849527193998995153286964269106313431089544476281344481611601466802767718`59.67161296238534, 0.00119741354955780355564302516702897987251742587873782650338252188238070480906`60., 0, 16.15221455287257789819184737693427374824806268042539223053201899771500968107458`60., -2.00290687871877518116867361089716533312311399674192192382171872132360272647476`60., 0.20818888911244846737027947433816008341139255896362496229716990223065830127486`60., -0.01731883167121265521211121289816072389305078044451337474147197818841904660325`60., 0, 19.16172357583302991075084696510398931970035345300860277364473399579008893212675`60., -1.99005775220587672177684857676567854193845100822889324208020572689330866299172`60., 0.108885069517233493198229245220778498526277985514762614943465713724910566803`60., 0, 6.04207192739764335056427266987015054439522649864712211770532517106948471840528`60., -0.35263345605851946241285455500957658141841012721105790694260510845736027031387`60., 0, 0.49394475787356705191752745023989934099417042370810150662470416693927958558184`60., 0}
exp_1_1 00 = {0.3789360780706560530216756199571089581739482662808267412361122289078016267676`60., 0, 0, 0.00542886646102199420075422906719120769972440837553457517730022496320938610673`60., -0.03420205855299203976625671496783171863046119971062005592708417168084992383954`60., 0, 0.0776329902411679933722905475053613802282564667148966573454859713865250126934`60., 0, 0, 0.0087689268547558634202328201261222044505270588898335831631555350424042989172`60., -0.00481804404094946624010497635543453053768137732900484835356916675011068295657`59.729582744113685, 0.00624329635445203148161989934953344391578178310424087760894163591400721589326`60., 0, 0.07793840145120425735261517386123971880927798223816152075735150049307405371192`60., -0.03257319876613196520452537440314724619834645025320745106380134977925518243377`60., 0, 0.0500814429893430037280865670282342236216057374728706302431641410950798018821`60., 0, 0, 0.03286238089636695674274881787665705184696816308770753637990460635035730493206`60., -0.00730987895271972836095527748438121427118928220208799115781962399709853203846`59.77098755382103, 0.00303941755761982304071714610380630498091575096374128217340386542361544241786`59.70937357882801, -0.00144776433912369055403615169942669209399231788172663081731097812773354539269`60., 0, 0.29802890027774265738032464438634674361476279622180784918461416417237496560024`60., -0.07782828061026350338875217421427846609018473519760940256147735477068122076345`60., 0.01255412878576743890080348481505022397923930252795355990369879871952546915452`60., 0, 0.30040165894252961186686341719769127794152466827613748722850380958612104813298`60., -0.04224355450784627640727984978332575065304064043283363088907933275681526333152`60., 0, 0.0555612113187043752588949004880718210848337317689493493224419542427138751307`60., 0, 0, 0.32579943830955215757859419637067006410739334932737710678565453983499818489438`60., -0.0501937060421961243328782086653840837249514592292713069683066785762523874578`59.97236967345698, 0.00432674904409377983980677872835891167665990928250813301256901450224364439582`59.516107046852504, -0.00165735982998585397518732261060471838932443428256078883154461486496288425815`59.71638702747802, 0.00038176401254532997540578294484792322627689440408107926483191138316039455566`60., 0, 3.03775713809051756799537157685451993385139985239980768928637236689446661102849`60., -0.4451985248204082646830821164701122623776027824564620727883506055776282241783`60., 0.05545752301644820245176778061371999345775281930338807349401162167963195779157`60., -0.00478965419823121422257210066811591949006970351495130601353008752963882432471`60., 0, 3.58112143668105231821282781558773936717700882502842239944837460054664089345943`60., -0.43296108415253592739760624861819272402114948593284609072329270390999309714254`60., 0.02597824750681898281816681934724108583957617066677006211220796728251387688645`60., 0, 1.11105330597597611114002292150665835847638814632745284377426310673961938163238`60., -0.07259004634482232879881949681385233235085199034317507662897714248329610688016`60., 0, 0.08815836401462986560321363875239414535460253180276447673565127711433658946179`60., 0, 0}
exp_1_1 10 = {0, 0, 0.3789360780706560530216756199571089581739482662808267412361122289078016267676`60., 0, 0, 0, 0.00542886646102199420075422906719120769972440837553457517730022496320938610673`60., -0.03420205855299203976625671496783171863046119971062005592708417168084992383954`60., 0.0776329902411679933722905475053613802282564667148966573454859713865250126934`60., 0, 0, 0, 0, 0.0087689268547558634202328201261222044505270588898335831631555350424042989172`60., -0.00481804404094946624010497635543453053768137732900484835356916675011068295657`59.729582744113685, 0.00624329635445203148161989934953344391578178310424087760894163591400721589326`60., 0.07793840145120425735261517386123971880927798223816152075735150049307405371192`60., -0.03257319876613196520452537440314724619834645025320745106380134977925518243377`60., 0.0500814429893430037280865670282342236216057374728706302431641410950798018821`60., 0, 0, 0, 0, 0, 0.03286238089636695674274881787665705184696816308770753637990460635035730493206`60., -0.00730987895271972836095527748438121427118928220208799115781962399709853203846`59.77098755382103, 0.00303941755761982304071714610380630498091575096374128217340386542361544241786`59.70937357882801, -0.00144776433912369055403615169942669209399231788172663081731097812773354539269`60., 0.29802890027774265738032464438634674361476279622180784918461416417237496560024`60., -0.07782828061026350338875217421427846609018473519760940256147735477068122076345`60., 0.01255412878576743890080348481505022397923930252795355990369879871952546915452`60., 0.30040165894252961186686341719769127794152466827613748722850380958612104813298`60., -0.04224355450784627640727984978332575065304064043283363088907933275681526333152`60., 0.0555612113187043752588949004880718210848337317689493493224419542427138751307`60., 0, 0, 0, 0, 0, 0, 0.32579943830955215757859419637067006410739334932737710678565453983499818489438`60., -0.0501937060421961243328782086653840837249514592292713069683066785762523874578`59.97236967345698, 0.00432674904409377983980677872835891167665990928250813301256901450224364439582`59.516107046852504, -0.00165735982998585397518732261060471838932443428256078883154461486496288425815`59.71638702747802, 0.00038176401254532997540578294484792322627689440408107926483191138316039455566`60., 3.03775713809051756799537157685451993385139985239980768928637236689446661102849`60., -0.4451985248204082646830821164701122623776027824564620727883506055776282241783`60., 0.05545752301644820245176778061371999345775281930338807349401162167963195779157`60., -0.00478965419823121422257210066811591949006970351495130601353008752963882432471`60., 3.58112143668105231821282781558773936717700882502842239944837460054664089345943`60., -0.43296108415253592739760624861819272402114948593284609072329270390999309714254`60., 0.02597824750681898281816681934724108583957617066677006211220796728251387688645`60., 1.11105330597597611114002292150665835847638814632745284377426310673961938163238`60., -0.07259004634482232879881949681385233235085199034317507662897714248329610688016`60., 0.08815836401462986560321363875239414535460253180276447673565127711433658946179`60.}
exp_1_1 01 = {0, 0.3789360780706560530216756199571089581739482662808267412361122289078016267676`60., 0, 0, 0.00542886646102199420075422906719120769972440837553457517730022496320938610673`60., -0.03420205855299203976625671496783171863046119971062005592708417168084992383954`60., 0, 0.0776329902411679933722905475053613802282564667148966573454859713865250126934`60., 0, 0, 0.0087689268547558634202328201261222044505270588898335831631555350424042989172`60., -0.00481804404094946624010497635543453053768137732900484835356916675011068295657`59.729582744113685, 0.00624329635445203148161989934953344391578178310424087760894163591400721589326`60., 0, 0.07793840145120425735261517386123971880927798223816152075735150049307405371192`60., -0.03257319876613196520452537440314724619834645025320745106380134977925518243377`60., 0, 0.0500814429893430037280865670282342236216057374728706302431641410950798018821`60., 0, 0, 0.03286238089636695674274881787665705184696816308770753637990460635035730493206`60., -0.00730987895271972836095527748438121427118928220208799115781962399709853203846`59.77098755382103, 0.00303941755761982304071714610380630498091575096374128217340386542361544241786`59.70937357882801, -0.00144776433912369055403615169942669209399231788172663081731097812773354539269`60., 0, 0.29802890027774265738032464438634674361476279622180784918461416417237496560024`60., -0.07782828061026350338875217421427846609018473519760940256147735477068122076345`60., 0.01255412878576743890080348481505022397923930252795355990369879871952546915452`60., 0, 0.30040165894252961186686341719769127794152466827613748722850380958612104813298`60., -0.04224355450784627640727984978332575065304064043283363088907933275681526333152`60., 0, 0.0555612113187043752588949004880718210848337317689493493224419542427138751307`60., 0, 0, 0.32579943830955215757859419637067006410739334932737710678565453983499818489438`60., -0.0501937060421961243328782086653840837249514592292713069683066785762523874578`59.97236967345698, 0.00432674904409377983980677872835891167665990928250813301256901450224364439582`59.516107046852504, -0.00165735982998585397518732261060471838932443428256078883154461486496288425815`59.71638702747802, 0.00038176401254532997540578294484792322627689440408107926483191138316039455566`60., 0, 3.03775713809051756799537157685451993385139985239980768928637236689446661102849`60., -0.4451985248204082646830821164701122623776027824564620727883506055776282241783`60., 0.05545752301644820245176778061371999345775281930338807349401162167963195779157`60., -0.00478965419823121422257210066811591949006970351495130601353008752963882432471`60., 0, 3.58112143668105231821282781558773936717700882502842239944837460054664089345943`60., -0.43296108415253592739760624861819272402114948593284609072329270390999309714254`60., 0.02597824750681898281816681934724108583957617066677006211220796728251387688645`60., 0, 1.11105330597597611114002292150665835847638814632745284377426310673961938163238`60., -0.07259004634482232879881949681385233235085199034317507662897714248329610688016`60., 0, 0.08815836401462986560321363875239414535460253180276447673565127711433658946179`60., 0}
exp_1_2 00 = {0.24212784385868789395664876008578208365210346743834651752777554218455559096301`60., 0, 0, 0.00208109878481734382720663311651114797192726103474695920298054530466907196442`60., -0.01755326827445328914860365003574253485504311143264438230323980924349864436033`60., 0, 0.0342020585529920397662567149678317186304611997106200559270841716808512200757`60., 0, 0, 0.00300481780876193514155982395964778958786927528405899679130420504250561567427`60., -0.00248831373153236246763946825768226607995594839910011041880125078006808137491`59.75900737519442, 0.00276866194055517415193313527090938289020022018809696364739528840744670695079`60., 0, 0.0273479397784674803239875629065415975526363855598494514944114775537454900667`60., -0.01248659270890406296323979869906688783156356620848175521788327182801443178653`60., 0, 0.01628659938306598260226268720157362309917322512660372553190067488962759121688`60., 0, 0, 0.00902668090019833388159846038107508150817110904688794284670975465119083729335`60., -0.00213646411618332988398102592495147943901967374151062950264491805300297391471`59.65929791613699, 0.00148741019465250522782964173940919249954994774902547393831931183019342688074`59.751200092573605, -0.00057516088187722203882293353977429614821655924382702106912375210904543360192`60., 0, 0.08126839792560811836622394591769523790491833069239201236209107720309528491104`60., -0.02587178559662553775241853551979629441103239386406927833706142020560228240912`60., 0.00434329301737107166210845509828007628197695364517989245193293438309329204453`60., 0, 0.08039416678788736815084437100076913724557921922347617364015418737576993630823`60., -0.01255412878576743890080348481505022397923930252795355990369879871961699088689`60., 0, 0.01408118483594875880242661659444191688434688014427787696302644425225856910951`60., 0, 0, 0.07188904500203937578605001442444442020259350166544692468825449574073055504478`60., -0.01334888418751293258488167239038657829560515673856353484097126977831805189453`59.94427411165622, 0.00118437817694247294731136737755814722986305032369014413475999717285494759769`59.361279815633274, -0.00074615418778338874100300711220077638799154125266396229336822685534461497324`59.75838337259349, 0.0001388372290532907983409668332793544518004631716924905791410344017042476106`60., 0, 0.66955525453783610420034399681430907857180420166681628059967587360756892954248`60., -0.11735225926258252401278330597946793687964619467505250936209728534470312650928`60., 0.01750125696293900291510108006185895957095437977724443522257573525359241304069`60., -0.00152705605018131990162313177939169290510757761632431705932764553264157822262`60., 0, 0.78277826524623961871162351559193628449338146714836105504333378834937173646099`60., -0.11072873769005787603847606452941160191555402920204977538151678597458548008074`60., 0.00718448129734682133385815100217387923510455527242695902029513129445823648706`60., 0, 0.23766816462207768700388043560463899102956920760024297367897355662801444936981`60., -0.01731883167121265521211121289816072389305078044451337474147197818834258459095`60., 0, 0.01814751158620558219970487420346308308771299758579376915724428562082402672003`60., 0, 0}
exp_1_2 10 = {0, 0, 0.24212784385868789395664876008578208365210346743834651752777554218455559096301`60., 0, 0, 0, 0.00208109878481734382720663311651114797192726103474695920298054530466907196442`60., -0.01755326827445328914860365003574253485504311143264438230323980924349864436033`60., 0.0342020585529920397662567149678317186304611997106200559270841716808512200757`60., 0, 0, 0, 0, 0.00300481780876193514155982395964778958786927528405899679130420504250561567427`60., -0.00248831373153236246763946825768226607995594839910011041880125078006808137491`59.75900737519442, 0.00276866194055517415193313527090938289020022018809696364739528840744670695079`60., 0.0273479397784674803239875629065415975526363855598494514944114775537454900667`60., -0.01248659270890406296323979869906688783156356620848175521788327182801443178653`60., 0.01628659938306598260226268720157362309917322512660372553190067488962759121688`60., 0, 0, 0, 0, 0, 0.00902668090019833388159846038107508150817110904688794284670975465119083729335`60., -0.00213646411618332988398102592495147943901967374151062950264491805300297391471`59.65929791613699, 0.00148741019465250522782964173940919249954994774902547393831931183019342688074`59.751200092573605, -0.00057516088187722203882293353977429614821655924382702106912375210904543360192`60., 0.08126839792560811836622394591769523790491833069239201236209107720309528491104`60., -0.02587178559662553775241853551979629441103239386406927833706142020560228240912`60., 0.00434329301737107166210845509828007628197695364517989245193293438309329204453`60., 0.08039416678788736815084437100076913724557921922347617364015418737576993630823`60., -0.01255412878576743890080348481505022397923930252795355990369879871961699088689`60., 0.01408118483594875880242661659444191688434688014427787696302644425225856910951`60., 0, 0, 0, 0, 0, 0, 0.07188904500203937578605001442444442020259350166544692468825449574073055504478`60., -0.01334888418751293258488167239038657829560515673856353484097126977831805189453`59.94427411165622, 0.00118437817694247294731136737755814722986305032369014413475999717285494759769`59.361279815633274, -0.00074615418778338874100300711220077638799154125266396229336822685534461497324`59.75838337259349, 0.0001388372290532907983409668332793544518004631716924905791410344017042476106`60., 0.66955525453783610420034399681430907857180420166681628059967587360756892954248`60., -0.11735225926258252401278330597946793687964619467505250936209728534470312650928`60., 0.01750125696293900291510108006185895957095437977724443522257573525359241304069`60., -0.00152705605018131990162313177939169290510757761632431705932764553264157822262`60., 0.78277826524623961871162351559193628449338146714836105504333378834937173646099`60., -0.11072873769005787603847606452941160191555402920204977538151678597458548008074`60., 0.00718448129734682133385815100217387923510455527242695902029513129445823648706`60., 0.23766816462207768700388043560463899102956920760024297367897355662801444936981`60., -0.01731883167121265521211121289816072389305078044451337474147197818834258459095`60., 0.01814751158620558219970487420346308308771299758579376915724428562082402672003`60.}
exp_1_2 01 = {0, 0.24212784385868789395664876008578208365210346743834651752777554218455559096301`60., 0, 0, 0.00208109878481734382720663311651114797192726103474695920298054530466907196442`60., -0.01755326827445328914860365003574253485504311143264438230323980924349864436033`60., 0, 0.0342020585529920397662567149678317186304611997106200559270841716808512200757`60., 0, 0, 0.00300481780876193514155982395964778958786927528405899679130420504250561567427`60., -0.00248831373153236246763946825768226607995594839910011041880125078006808137491`59.75900737519442, 0.00276866194055517415193313527090938289020022018809696364739528840744670695079`60., 0, 0.0273479397784674803239875629065415975526363855598494514944114775537454900667`60., -0.01248659270890406296323979869906688783156356620848175521788327182801443178653`60., 0, 0.01628659938306598260226268720157362309917322512660372553190067488962759121688`60., 0, 0, 0.00902668090019833388159846038107508150817110904688794284670975465119083729335`60., -0.00213646411618332988398102592495147943901967374151062950264491805300297391471`59.65929791613699, 0.00148741019465250522782964173940919249954994774902547393831931183019342688074`59.751200092573605, -0.00057516088187722203882293353977429614821655924382702106912375210904543360192`60., 0, 0.08126839792560811836622394591769523790491833069239201236209107720309528491104`60., -0.02587178559662553775241853551979629441103239386406927833706142020560228240912`60., 0.00434329301737107166210845509828007628197695364517989245193293438309329204453`60., 0, 0.08039416678788736815084437100076913724557921922347617364015418737576993630823`60., -0.01255412878576743890080348481505022397923930252795355990369879871961699088689`60., 0, 0.01408118483594875880242661659444191688434688014427787696302644425225856910951`60., 0, 0, 0.07188904500203937578605001442444442020259350166544692468825449574073055504478`60., -0.01334888418751293258488167239038657829560515673856353484097126977831805189453`59.94427411165622, 0.00118437817694247294731136737755814722986305032369014413475999717285494759769`59.361279815633274, -0.00074615418778338874100300711220077638799154125266396229336822685534461497324`59.75838337259349, 0.0001388372290532907983409668332793544518004631716924905791410344017042476106`60., 0, 0.66955525453783610420034399681430907857180420166681628059967587360756892954248`60., -0.11735225926258252401278330597946793687964619467505250936209728534470312650928`60., 0.01750125696293900291510108006185895957095437977724443522257573525359241304069`60., -0.00152705605018131990162313177939169290510757761632431705932764553264157822262`60., 0, 0.78277826524623961871162351559193628449338146714836105504333378834937173646099`60., -0.11072873769005787603847606452941160191555402920204977538151678597458548008074`60., 0.00718448129734682133385815100217387923510455527242695902029513129445823648706`60., 0, 0.23766816462207768700388043560463899102956920760024297367897355662801444936981`60., -0.01731883167121265521211121289816072389305078044451337474147197818834258459095`60., 0, 0.01814751158620558219970487420346308308771299758579376915724428562082402672003`60., 0}
exp_1_3 00 = {0.17191477076087473736223415994281194423193102170776898831481630521029627269133`60., 0, 0, 0.00092288731351839138397771175696979429673340672936565454913176280248223565026`60., -0.01017016976630615807678195597998418048117585759771914591018570682364075915821`60., 0, 0.01755326827445328914860365003574253485504311143264438230323980924349864436032`60., 0, 0, 0.00121739098033907450786217288585247792843272526965677283914495158379663814998`60., -0.00149936314665303148373115434340955067474342194281388603752239462554546449913`59.79121651546988, 0.00138827582404984125875809477545107213448047800291211308149828334579538926225`60., 0, 0.01150027202653956810119250287812509288593795169143795167513817510151426882284`60., -0.00553732388111034830386627054181876578040044037619392729479057681500885981369`60., 0, 0.00624329635445203148161989934953344391578178310424087760894163591397906354247`60., 0, 0, 0.00297068519914902906015803469998950607642161797774238740273984975139711911705`60., -0.00071619023403155201096182129663240367647141384160401535131349277307522125333`59.5272689609731, 0.00082307354308632140156555264301020009323899224525696286678818976308122251413`59.7887518647625, -0.00025781864404112878547215220656434311552978627995847117394424490515001049197`60., 0, 0.02648602607093972904032672927034221005079297448600386458112852051240808394252`60., -0.01019391781606219231188240627596994202215964536236594567419031858865980229157`60., 0.00172548264563166611646880061932288844464967773148106320737125632713630080574`60., 0, 0.02556931329513783712459973265491337199587075919458588531424617622733819053722`60., -0.00434329301737107166210845509828007628197695364517989245193293438309329204453`60., 0, 0.00418470959525581296693449493835007465974643417598451996789959957320566362897`60., 0, 0, 0.01874686886693041384223236614013507772559929212064790060257029507689162465748`60., -0.00418608359484943396794543801655650646694264429489470195573471818231973030496`59.89884511671411, 0.00039918843125122594104826428957420065045993340347086765031356150208182512645`59.22632241420254, -0.00037548810881674377551017158576277212953540000361621135469453092992500727652`59.79453218142536, 0.00005679007236703355931550900512877200006848414876996981368388985132877650006`60., 0, 0.17431456940270077069700525501021945047348582243747585795037058856764481558978`60., -0.03677217983147185274668462382861670850363235408176754718492087169643214879714`60., 0.00647276784536821725221725467160083084684247458617323057707063048885587174485`60., -0.0005553489162131631933638673331174178072018526867699623165641376068169904424`60., 0, 0.20161970128314184396205644004800137863857645930188217662159959723262910855724`60., -0.03329303258397033822558916118062799055889758260543349290472006790929405072419`60., 0.00229058407527197985243469766908753935766136642448647558899146829896252168818`60., 0, 0.05950970994554966353824115355838267159211210534342451533232128030941497207405`60., -0.00478965419823121422257210066811591949006970351495130601353008752963887160267`60., 0, 0.00432970791780316380302780322454018097326269511112834368536799454708568647252`60., 0, 0}
exp_1_3 10 = {0, 0, 0.17191477076087473736223415994281194423193102170776898831481630521029627269133`60., 0, 0, 0, 0.00092288731351839138397771175696979429673340672936565454913176280248223565026`60., -0.01017016976630615807678195597998418048117585759771914591018570682364075915821`60., 0.01755326827445328914860365003574253485504311143264438230323980924349864436032`60., 0, 0, 0, 0, 0.00121739098033907450786217288585247792843272526965677283914495158379663814998`60., -0.00149936314665303148373115434340955067474342194281388603752239462554546449913`59.79121651546988, 0.00138827582404984125875809477545107213448047800291211308149828334579538926225`60., 0.01150027202653956810119250287812509288593795169143795167513817510151426882284`60., -0.00553732388111034830386627054181876578040044037619392729479057681500885981369`60., 0.00624329635445203148161989934953344391578178310424087760894163591397906354247`60., 0, 0, 0, 0, 0, 0.00297068519914902906015803469998950607642161797774238740273984975139711911705`60., -0.00071619023403155201096182129663240367647141384160401535131349277307522125333`59.5272689609731, 0.00082307354308632140156555264301020009323899224525696286678818976308122251413`59.7887518647625, -0.00025781864404112878547215220656434311552978627995847117394424490515001049197`60., 0.02648602607093972904032672927034221005079297448600386458112852051240808394252`60., -0.01019391781606219231188240627596994202215964536236594567419031858865980229157`60., 0.00172548264563166611646880061932288844464967773148106320737125632713630080574`60., 0.02556931329513783712459973265491337199587075919458588531424617622733819053722`60., -0.00434329301737107166210845509828007628197695364517989245193293438309329204453`60., 0.00418470959525581296693449493835007465974643417598451996789959957320566362897`60., 0, 0, 0, 0, 0, 0, 0.01874686886693041384223236614013507772559929212064790060257029507689162465748`60., -0.00418608359484943396794543801655650646694264429489470195573471818231973030496`59.89884511671411, 0.00039918843125122594104826428957420065045993340347086765031356150208182512645`59.22632241420254, -0.00037548810881674377551017158576277212953540000361621135469453092992500727652`59.79453218142536, 0.00005679007236703355931550900512877200006848414876996981368388985132877650006`60., 0.17431456940270077069700525501021945047348582243747585795037058856764481558978`60., -0.03677217983147185274668462382861670850363235408176754718492087169643214879714`60., 0.00647276784536821725221725467160083084684247458617323057707063048885587174485`60., -0.0005553489162131631933638673331174178072018526867699623165641376068169904424`60., 0.20161970128314184396205644004800137863857645930188217662159959723262910855724`60., -0.03329303258397033822558916118062799055889758260543349290472006790929405072419`60., 0.00229058407527197985243469766908753935766136642448647558899146829896252168818`60., 0.05950970994554966353824115355838267159211210534342451533232128030941497207405`60., -0.00478965419823121422257210066811591949006970351495130601353008752963887160267`60., 0.00432970791780316380302780322454018097326269511112834368536799454708568647252`60.}
